eV_,xxTotalf0,zzTotalf0
282.34117059,2.2791791e-14,4.5059186e-12
282.36118059,2.3520712e-14,8.2239614e-12
282.3811906,2.4277726e-14,1.4897743e-11
282.4012006,2.5067466e-14,2.6769812e-11
282.42121061,2.5897489e-14,4.7699858e-11
282.44122061,2.6780134e-14,8.4267412e-11
282.46123062,2.7735741e-14,1.4758146e-10
282.48124062,2.8797795e-14,2.5621927e-10
282.50125063,3.0021199e-14,4.4094819e-10
282.52126063,3.1495538e-14,7.5223527e-10
282.54127064,3.3365665e-14,1.2720612e-09
282.56128064,3.5864124e-14,2.1323117e-09
282.58129065,3.9360639e-14,3.5430963e-09
282.60130065,4.44377e-14,5.8358833e-09
282.62131066,5.2004692e-14,9.528498e-09
282.64132066,6.3466756e-14,1.5421955e-08
282.66133067,8.097572e-14,2.4743141e-08
282.68134067,1.0779207e-13,3.9352695e-08
282.70135068,1.4880995e-13,6.2044371e-08
282.72136068,2.1130092e-13,9.6971156e-08
282.74137069,3.0596321e-13,1.5024493e-07
282.76138069,4.4837468e-13,2.3076988e-07
282.7813907,6.609947e-13,3.5138686e-07
282.8014007,9.7587205e-13,5.3042595e-07
282.82141071,1.4382781e-12,7.9378486e-07
282.84142071,2.1114954e-12,1.1776766e-06
282.86143072,3.0830822e-12,1.7322129e-06
282.88144072,4.4729203e-12,2.5260135e-06
282.90145073,6.4434426e-12,3.6520519e-06
282.92146073,9.2123852e-12,5.2349587e-06
282.94147074,1.3068546e-11,7.4400041e-06
282.96148074,1.8390846e-11,1.0483976e-05
282.98149075,2.5671189e-11,1.4648105e-05
283.00150075,3.5540956e-11,2.0293164e-05
283.02151076,4.880181e-11,2.7876727e-05
283.04152076,6.6460157e-11,3.7972492e-05
283.06153077,8.9765174e-11,5.1291285e-05
283.08154077,1.2024952e-10,6.8703383e-05
283.10155078,1.5977204e-10,9.1261143e-05
283.12156078,2.1056035e-10,0.00012022114
283.14157079,2.7525043e-10,0.00015706437
283.16158079,3.5692688e-10,0.00020351268
283.1815908,4.5914811e-10,0.00026153997
283.2016008,5.8596944e-10,0.00033337568
283.22161081,7.4195311e-10,0.00042149823
283.24162081,9.3215002e-10,0.00052861718
283.26163082,1.1620858e-09,0.00065764028
283.28164082,1.4376992e-09,0.00081162498
283.30165083,1.765278e-09,0.00099371315
283.32166083,2.1513544e-09,0.0012070473
283.34167084,2.6026077e-09,0.0014546696
283.36168084,3.1256902e-09,0.0017394045
283.38169085,3.7270849e-09,0.0020637265
283.40170085,4.4129274e-09,0.0024296197
283.42171086,5.1888085e-09,0.0028384274
283.44172086,6.0595808e-09,0.0032907079
283.46173087,7.0291626e-09,0.0037860887
