Energy,Intensity,Angle,Normalized Intensity
270.19992,5061.9155,20,0.00018179325354311944
270.30038,5061.146,20,0.00018177085096414484
270.40048,5058.98,20,0.00018170779185295717
270.50085,5055.7681,20,0.0001816142832845252
270.60025,5051.916,20,0.0001815021364691023
270.70023,5047.7461,20,0.00018138073749045895
270.79675,5043.4492,20,0.000181255641140107
270.89978,5039.1152,20,0.00018112946469140553
271.00046,5034.7769,20,0.0001810031630561029
271.10052,5030.4429,20,0.00018087698660740144
271.19952,5026.1157,20,0.0001807510081282088
271.29559,5021.7935,20,0.00018062517521483143
271.4007,5017.4736,20,0.00018049940926172911
271.50003,5013.1577,20,0.000180373759761279
271.59778,5008.8447,20,0.0001802481946890018
271.69995,5004.5366,20,0.00018012277227122362
271.79944,5000.2334,20,0.00017999749250794438
271.89951,4995.936,20,0.0001798723816010109
271.99951,4991.645,20,0.00017974745701832104
272.09991,4987.3608,20,0.00017962273040513993
272.20105,4983.085,20,0.00017949824834252856
272.30042,4978.8174,20,0.00017937400500785426
272.39816,4974.5562,20,0.00017924994799742357
272.49985,4970.2998,20,0.00017912603073017553
272.5994,4966.0493,20,0.00017900228523058957
272.70068,4961.8071,20,0.000178878781370257
272.80112,4957.5776,20,0.00017875564724709528
272.89951,4953.3594,20,0.00017863284210267616
272.99695,4949.1489,20,0.00017851026112961259
273.10031,4944.9375,20,0.00017838765395470225
273.19153,4940.7207,20,0.00017826488956871142
273.30054,4936.4976,20,0.00017814194176979327
273.40067,4932.2739,20,0.00017801897650297733
273.50009,4928.0576,20,0.000177896226673568
273.59955,4923.8516,20,0.0001777737767097382
273.70074,4919.6582,20,0.00017765169357176295
273.79959,4915.4731,20,0.0001775298520730411
273.89993,4911.2944,20,0.00017740819689856282
273.99939,4907.1211,20,0.0001772866989351651
274.10001,4902.9526,20,0.00017716534071495003
274.20178,4898.7896,20,0.00017704414261713182
274.29977,4894.6333,20,0.0001769231395775061
274.39984,4890.4834,20,0.00017680232286212394
274.50064,4886.3403,20,0.0001766817041162506
274.60049,4882.2021,20,0.00017656122802487626
274.70053,4878.0684,20,0.00017644088294273567
274.80054,4873.938,20,0.00017632063393403322
274.89984,4869.812,20,0.00017620051302324818
275.00012,4865.6934,20,0.00017608060754986982
275.10461,4861.5854,20,0.0001759610106760199
275.20041,4857.4902,20,0.00017584178645065713
275.30038,4853.4077,20,0.00017572293196246522
275.40027,4849.334,20,0.00017560433367010822
275.49963,4845.2646,20,0.0001754858605643524
275.59686,4841.1953,20,0.00017536739036991288
275.70007,4837.1265,20,0.00017524893473205491
275.79984,4833.0581,20,0.00017513049073946215
275.89993,4828.9927,20,0.00017501213408635855
275.99768,4824.9321,20,0.00017489391717643766
276.10086,4820.877,20,0.0001747758603889136
276.19995,4816.8276,20,0.00017465796954641894
276.29977,4812.7856,20,0.00017454029414133097
276.40002,4808.751,20,0.00017442283417364965
276.50052,4804.7227,20,0.0001743055576188956
276.5997,4800.7007,20,0.0001741884644770688
276.69943,4796.6846,20,0.00017407154310290405
276.80069,4792.6748,20,0.0001739548051416666
276.8999,4788.6709,20,0.00017383823894809118
277.00012,4784.6738,20,0.0001737218707240246
277.09988,4780.6836,20,0.00017360570338078313
277.20029,4776.7012,20,0.0001734897631202135
277.29916,4772.7261,20,0.0001733740353857342
277.40015,4768.7583,20,0.0001732585201773453
277.50024,4764.7939,20,0.00017314310395371072
277.59604,4760.8315,20,0.00017302774595640233
277.69977,4756.8701,20,0.00017291241707225697
277.7998,4752.9106,20,0.00017279714350312142
277.9007,4748.9556,20,0.00017268200094321963
278.00006,4745.0093,20,0.00017256711166783648
278.09964,4741.0737,20,0.00017245253390329806
278.20016,4737.1494,20,0.00017233828511750224
278.30075,4733.2358,20,0.00017222434784255116
278.39969,4729.3315,20,0.0001721106813200165
278.49936,4725.4312,20,0.0001719971312501341
278.59357,4721.5293,20,0.0001718835345991908
278.70029,4717.6245,20,0.00017176985352007463
278.79935,4713.7183,20,0.00017165613168253018
278.90021,4709.8164,20,0.00017154253503158686
279.00021,4705.9219,20,0.00017142915381805024
279.10034,4702.0386,20,0.00017131609867193984
279.19986,4698.1641,20,0.00017120329972166438
279.29965,4694.2964,20,0.00017109069874089773
279.39996,4690.4351,20,0.00017097828408437466
279.50082,4686.5791,20,0.00017086602372761583
279.5997,4682.7285,20,0.0001707539205819375
279.70007,4678.8857,20,0.00017064204451893103
279.80075,4675.0493,20,0.00017053035478016814
279.90009,4671.2227,20,0.00017041895035040328
280.00043,4667.4043,20,0.0001703077846485755
280.0994,4663.5942,20,0.00017019686058600107
280.20062,4659.7886,20,0.00017008606753266044
280.29581,4655.9858,20,0.00016997535599617638
280.39935,4652.1826,20,0.0001698646328144271
280.49982,4648.3818,20,0.00016975397950426914
280.60037,4644.583,20,0.00016964338442043732
280.69861,4640.7905,20,0.00016953297274953277
280.79987,4637.0044,20,0.00016942274740287182
280.90036,4633.2256,20,0.00016931273458230118
281.00061,4629.4536,20,0.00016920291973123935
281.09973,4625.689,20,0.0001690933203175842
281.20016,4621.9316,20,0.00016898393051870304
281.29999,4618.1812,20,0.00016887474451196332
281.40094,4614.438,20,0.00016876576811999762
281.49966,4610.7017,20,0.00016865699260885703
281.59967,4606.9702,20,0.00016854835684089914
281.69952,4603.2437,20,0.00016843986663875654
281.79987,4599.5205,20,0.00016833147251005205
281.89954,4595.8018,20,0.00016822320939058132
282.00006,4592.0894,20,0.00016811512968403785
282.10202,4588.3838,20,0.00016800724794700323
282.19839,4584.686,20,0.00016789959329264044
282.30051,4580.9961,20,0.00016779216863226586
282.39868,4577.313,20,0.00016768494194140004
282.50177,4573.6377,20,0.00016757794233320612
282.59982,4569.9673,20,0.0001674710853795112
282.69489,4566.3101,20,0.0001673646127195686
282.80139,4562.7207,20,0.00016726011393208154
282.90005,4559.4209,20,0.00016716404631661659
283.00031,4557.355,20,0.0001671039014330512
283.10001,4559.749,20,0.00016717359834541654
283.19971,4576.4385,20,0.0001676594824803042
283.30032,4634.0737,20,0.00016933742545589226
283.401,4792.1753,20,0.0001739402631167182
283.50012,5154.5815,20,0.0001844910539112251
283.60101,5902.1963,20,0.00020625648548959523
283.70023,7194.4805,20,0.00024387896612388548
283.80029,9167.3223,20,0.00030131463113860775
283.89987,11697.249,20,0.0003749687996852199
284.00171,14454.597,20,0.0004552439216220191
284.10089,16670.984,20,0.0005197699577567894
284.19962,17826.238,20,0.0005534030558343535
284.3002,17699.844,20,0.0005497233267025645
284.39972,16661.166,20,0.0005194841247218677
284.49951,15641.657,20,0.0004898029929638652
284.60034,15773.051,20,0.0004936282879109535
284.70023,17808.787,20,0.0005528950020257956
284.80011,21623.102,20,0.0006639417765824937
284.90048,26126.205,20,0.0007950413484968717
285.0,29590.885,20,0.0008959091422871329
285.10156,30682.572,20,0.0009276916039284704
285.19962,29044.508,20,0.0008800023795939718
285.30008,25390.867,20,0.0007736333333987548
285.39987,21108.43,20,0.0006489580467241456
285.50049,17292.443,20,0.0005378625949588114
285.59723,14618.184,20,0.00046000645662749363
285.70236,12811.905,20,0.00040741996156887944
285.7988,11894.388,20,0.00038070813953767916
285.89941,11386.079,20,0.00036590965673588094
285.99982,11117.178,20,0.00035808109807591957
286.09372,10997.155,20,0.00035458684890598516
286.20023,11065.586,20,0.00035657909176733493
286.29605,11464.998,20,0.0003682072384514027
286.40369,12518.931,20,0.00039889056173457785
286.49942,14135.387,20,0.0004459507088416789
286.59451,16415.361,20,0.0005123279636759369
286.7002,19630.811,20,0.0006059398838367875
286.80005,22960.115,20,0.0007028664540646562
286.89984,25846.992,20,0.0007869125748994368
286.9996,27411.602,20,0.0008324633209545359
287.10059,27164.227,20,0.0008252614522426012
287.20013,25567.012,20,0.0007787614715059352
287.30066,23792.777,20,0.0007271078786444114
287.40085,22900.451,20,0.0007011294463038523
287.50323,22999.213,20,0.0007040047205139708
287.60022,23384.984,20,0.0007152357345407389
287.70038,23474.738,20,0.0007178487573780142
287.7995,23278.48,20,0.0007121350662222108
287.8999,23240.986,20,0.0007110434972864442
287.99335,23586.457,20,0.0007211012508418996
288.09857,24224.709,20,0.000739682785391186
288.20004,24790.504,20,0.0007561548674846438
288.29968,25326.264,20,0.0007717525357255982
288.39902,26077.264,20,0.0007936165211835587
288.50058,27071.053,20,0.0008225488623876612
288.59918,27929.508,20,0.0008475412027822197
288.70029,28409.51,20,0.000861515579277282
288.80112,28504.555,20,0.0008642826398603072
288.90076,28398.564,20,0.0008611969065944287
289.00128,28221.371,20,0.0008560382578923617
289.10034,28079.621,20,0.0008519114670286255
289.1991,28090.902,20,0.0008522398926211038
289.30176,28318.42,20,0.0008588636612541587
289.40079,28647.035,20,0.0008684306833330771
289.49954,28914.15,20,0.0008762072458838136
289.5936,29033.125,20,0.0008796709844588613
289.70041,29075.398,20,0.000880901685200891
289.79962,29178.18,20,0.0008838939943265104
289.90015,29466.133,20,0.0008922772169690884
290.00024,29956.443,20,0.0009065516919489719
290.09933,30603.51,20,0.0009253898590306311
290.1994,31413.963,20,0.0009489847093719898
290.2995,32489.605,20,0.0009803000503120318
290.40091,33995.059,20,0.0010241285780931612
290.50046,36049.367,20,0.0010839359818723513
290.60077,38533.871,20,0.001156267751947244
290.70013,41184.223,20,0.0012334278818892895
290.80054,43679.797,20,0.0013060819346792552
290.89999,45880.254,20,0.0013701441981264818
291.00235,47806.586,20,0.0014262258157499222
291.10242,49592.992,20,0.0014782337449190475
291.19971,51328.047,20,0.0015287466840518858
291.3002,53116.918,20,0.0015808263771679538
