energy,n_xx,n_zz,n_ixx,n_izz
270.2,0.0012826849832083917,0.0011680175845484053,0.0001870323073824978,0.0001870323073824978
270.22,0.00128183903769405,0.0011670431019703315,0.00018692128168612142,0.00018736876284986158
270.24,0.0012808040032544613,0.0011665997067684323,0.00018685286277558602,0.00018772372917155177
270.26,0.0012797999939950324,0.0011662226491077434,0.00018719946617639846,0.00018720824869457577
270.28,0.0012790172889652518,0.001165494164405409,0.00018756722579074157,0.00018662568831546593
270.3,0.0012783987255448753,0.0011645124604367071,0.00018796198003329264,0.00018589461775028293
270.32,0.0012779639727848518,0.001163157219012634,0.00018828980795144984,0.00018516784873322614
270.34,0.0012776396428829165,0.0011615117126729019,0.00018842115786495405,0.00018477274668282837
270.36,0.0012772489478456237,0.0011599467991854355,0.00018832435810815022,0.00018484446572554567
270.38,0.0012767444599114457,0.0011585855616606778,0.0001882251468095824,0.00018491669369237175
270.4,0.001276197194194238,0.001157285699754141,0.00018812028387196587,0.00018499507289685798
270.42,0.0012756203331747323,0.0011560157186876739,0.00018800689109577706,0.0001850827354817057
270.44,0.0012750162729275542,0.0011547592707580232,0.00018788515054911175,0.00018518261137097765
270.46,0.001274382208379848,0.0011535017718733586,0.00018775753869624618,0.0001852979281697533
270.48,0.001273713425884107,0.001152223766221285,0.00018763525015258253,0.0001854399554948712
270.5,0.0012730387927957973,0.001150879094833169,0.00018755060321229078,0.0001856396714257137
270.52,0.0012723415587727704,0.001149616289893333,0.00018742962637499373,0.00018613125989269368
270.54,0.0012716047036533276,0.0011485886553563617,0.00018736250000745655,0.00018664571145083147
270.56,0.0012708745345338206,0.001147727782464203,0.00018734765592770425,0.0001870823866108306
270.58,0.0012701759048454433,0.0011469747808568482,0.00018736975758303702,0.00018741464307995797
270.6,0.0012695195008628306,0.001146279436214404,0.00018740644590972005,0.00018761122316606976
270.62,0.0012688997936677689,0.0011455715636651141,0.0001874378238122171,0.0001876602438420125
270.64,0.0012683139398314805,0.0011447875731047242,0.00018746968171867956,0.0001876047012911336
270.66,0.0012677807422303664,0.0011439063133034436,0.00018750355661841905,0.00018751087091843947
270.68,0.0012673244117406709,0.0011429448435493464,0.0001875096286487074,0.0001874251904928177
270.7,0.0012669388099315363,0.0011419199535905491,0.00018742655243597907,0.00018735169748349044
270.72,0.001266572420170467,0.0011408095515718691,0.00018720996054793864,0.0001872832623427792
270.74,0.0012662038671246419,0.0011395137806113815,0.00018688762060960863,0.00018725338086196102
270.76,0.0012657693056633526,0.0011381406209078368,0.00018635545940733485,0.00018762554481117815
