Energy,βiso,Difference,βzz,βxx,βyy
295.74,0.0017946588089760658,-0.00034933106513878546,0.001061568939280593,0.002132922051767936,0.002132922051767936
295.76,0.0017923960162456096,-0.0003488405579561676,0.0010603355020311536,0.0021301842925464834,0.0021301842925464834
295.78,0.001790137127945,-0.00034833197674922817,0.0010591438985154704,0.00212743293636812,0.00212743293636812
295.8,0.0017878865928720635,-0.00034780659365931635,0.0010579959078749067,0.0021246736638668904,0.0021246736638668904
295.82,0.0017856493430504984,-0.0003472673902430181,0.0010568902051776618,0.00212191429415871,0.00212191429415871
295.84,0.0017834211487077144,-0.0003467207483696887,0.0010558091679579635,0.002119156777144194,0.002119156777144194
295.86,0.0017811944798745093,-0.00034617673558835896,0.0010547241389580759,0.002116403331433989,0.002116403331433989
295.88,0.0017789578793357735,-0.0003456472763167457,0.0010535986369363925,0.0021136540464305295,0.0021136540464305295
295.9,0.0017766821553277575,-0.0003451427107481408,0.0010523817706821078,0.002110889742956013,0.002110889742956013
295.92,0.0017743430658073087,-0.0003446685411015266,0.0010510377514521062,0.0021080915068599987,0.0021080915068599987
295.94,0.0017719602606913155,-0.00034422448795807484,0.0010495868155385888,0.0021052787174933455,0.0021052787174933455
295.96,0.0017695657027079145,-0.0003438064980464339,0.0010480694316757808,0.0021024794127322433,0.0021024794127322433
295.98,0.001767178701231786,-0.000343409811254237,0.0010465148985880162,0.0020997082926531843,0.0020997082926531843
296.0,0.001764823807025037,-0.00034303016143423396,0.0010449567197749164,0.002096985777034957,0.002096985777034957
296.02,0.0017625170501430623,-0.0003426623490087699,0.0010434218368828737,0.002094322861093017,0.002094322861093017
296.04,0.0017602411519427928,-0.00034229806769637747,0.001041910402443444,0.0020916942230699395,0.0020916942230699395
296.06,0.001757976794517808,-0.0003419251189506386,0.0010404286978504033,0.0020890687329982527,0.0020890687329982527
296.08,0.0017557409268730761,-0.00034152929949070484,0.001039023478451027,0.0020864495866032493,0.0020864495866032493
296.1,0.0017536034329685068,-0.0003410988593127008,0.0010377892862149746,0.0020838952901152006,0.0020838952901152006
296.12,0.0017516148235363382,-0.000340629196761895,0.0010367862886923403,0.002081451898405394,0.002081451898405394
296.14,0.0017497223668930912,-0.000340124623539656,0.0010359527058643838,0.0020790708548845023,0.0020790708548845023
296.16,0.0017478574702947968,-0.0003395959766029842,0.001035197203054946,0.002076694060419296,0.002076694060419296
296.18,0.0017460065627218694,-0.00033905595795716726,0.0010344795534089589,0.0020743202435590724,0.0020743202435590724
296.2,0.0017441957968905373,-0.00033851578269155974,0.0010338023741795503,0.002071986416782823,0.002071986416782823
296.22,0.0017424468378456444,-0.00033798507480032366,0.0010331671339465758,0.0020697235642134783,0.0020697235642134783
296.24,0.001740738562406305,-0.00033747415397820783,0.0010325310530993803,0.00206752055540701,0.00206752055540701
296.26,0.0017390413756685835,-0.00033699665626790796,0.0010318359207712332,0.002065360999472757,0.002065360999472757
296.28,0.0017373430775679533,-0.00033656940217254114,0.0010310342381747947,0.0020632489839269366,0.0020632489839269366
296.3,0.001735635789604175,-0.00033620745889628093,0.0010300865074783477,0.0020611912201007098,0.0020611912201007098
296.32,0.0017339142500323499,-0.00033591700518173756,0.0010289745005161192,0.002059188429231284,0.002059188429231284
296.34,0.0017321831856613676,-0.00033569175849761795,0.0010277161283239586,0.0020572392546450878,0.0020572392546450878
296.36,0.0017304505053968493,-0.0003355161357127742,0.0010263520018392353,0.0020553365158354304,0.0020553365158354304
296.38,0.001728727287447739,-0.0003353724113430995,0.0010249303971445745,0.002053474127121948,0.002053474127121948
296.4,0.001727039989489911,-0.000335246171371257,0.0010235080204999188,0.0020516645888410947,0.0020516645888410947
296.42,0.0017254086440924795,-0.0003351270454892887,0.0010221266671186706,0.0020499178918154904,0.0020499178918154904
296.44,0.0017238145335827454,-0.0003350063115812246,0.0010207859231536364,0.002048206872598423,0.002048206872598423
296.46,0.0017222328252981492,-0.0003348743590114796,0.0010194811243735581,0.0020464973923845857,0.0020464973923845857
296.48,0.0017206693330218978,-0.00033472012246663,0.0010182413057119655,0.002044784550225016,0.002044784550225016
296.5,0.0017191681910423745,-0.0003345334446076885,0.001017131917174788,0.0020431026448830994,0.0020431026448830994
296.52,0.0017177639614573005,-0.00033430874767753475,0.0010161992260805206,0.0020414808374189753,0.0020414808374189753
296.54,0.0017164240427254558,-0.00033404680397628074,0.001015409010174972,0.002039887274122826,0.002039887274122826
296.56,0.0017151027370509045,-0.00033375301038159424,0.0010147042460266105,0.002038281483087631,0.002038281483087631
296.58,0.0017137881177508208,-0.0003334339844716711,0.001014059119611856,0.0020366579455446698,0.0020366579455446698
296.6,0.0017124903644611354,-0.0003330959697276925,0.0010134707082884227,0.002035032886799444,0.002035032886799444
296.62,0.0017112187951164246,-0.0003327463502756382,0.001012932834008729,0.0020334227749619605,0.0020334227749619605
296.64,0.0017099646610282439,-0.0003323963481039298,0.0010124131981431696,0.002031829727787023,0.002031829727787023
296.66,0.001708715398884286,-0.00033206232792077413,0.0010118648951665506,0.0020302570281890637,0.0020302570281890637
296.68,0.0017074662279220841,-0.0003317638756721898,0.0010112420421641843,0.0020287188608120008,0.0020287188608120008
296.7,0.0017062153065383295,-0.0003315186549018998,0.0010105057296442798,0.0020272304879639016,0.0020272304879639016
296.72,0.0017049616641346829,-0.0003313370295953552,0.001009633237632326,0.0020258009746707295,0.0020258009746707295
296.74,0.0017037063595057643,-0.0003312206746807489,0.0010086221099968084,0.002024433001588709,0.002024433001588709
296.76,0.0017024529626482152,-0.0003311665596748864,0.0010074822763649648,0.002023127204245794,0.002023127204245794
296.78,0.0017012196490076232,-0.0003311720646384138,0.001006237410264836,0.0020218992211555025,0.0020218992211555025
296.8,0.0017000571637478376,-0.0003312353190239601,0.0010049421823036839,0.0020207979861986843,0.0020207979861986843
296.82,0.0016990004357148045,-0.00033135025551887863,0.0010036442539066077,0.002019852553138719,0.002019852553138719
296.84,0.0016980110939580175,-0.00033150173046004976,0.001002337033907755,0.0020190098871571936,0.0020190098871571936
296.86,0.0016970407764601912,-0.0003316654324959032,0.0010010231789576124,0.0020181980851394533,0.0020181980851394533
296.88,0.0016960810877364152,-0.00033181317816046026,0.000999753438077624,0.002017381461068635,0.002017381461068635
296.9,0.0016951586397478393,-0.0003319211519357541,0.0009986044013634526,0.0020165635659326747,0.0020165635659326747
296.92,0.0016943043071153021,-0.0003319768215009605,0.0009976332431795238,0.002015763139091894,0.002015763139091894
296.94,0.0016935032283787658,-0.0003319807930200284,0.0009968238299984259,0.0020149659060451713,0.0020149659060451713
296.96,0.001692720619705427,-0.0003319428441002939,0.0009961208591569306,0.002014146550784051,0.002014146550784051
296.98,0.001691947364156983,-0.00033187534584055756,0.000995489252306163,0.002013307935516705,0.002013307935516705
297.0,0.0016911989191073656,-0.00033178935807573744,0.0009949212571666683,0.002012476227044303,0.002012476227044303
297.02,0.001690487929043993,-0.0003316954699190785,0.0009944072964070128,0.0020116743234736573,0.0020116743234736573
297.04,0.001689801192100655,-0.0003316069774561948,0.0009939062656162572,0.0020109018977655774,0.0020109018977655774
297.06,0.0016891215222337394,-0.00033154209502662404,0.0009933627549879157,0.002010159401132831,0.002010159401132831
297.08,0.001688446248921812,-0.0003315225599304354,0.0009927284771171286,0.002009465211653278,0.002009465211653278
297.1,0.0016877841856806064,-0.00033156797415251663,0.0009919711097089872,0.0020088471237797484,0.0020088471237797484
297.12,0.001687142369389465,-0.00033168921447628767,0.0009910748641327781,0.0020083227065669272,0.0020083227065669272
297.14,0.0016865138870653744,-0.00033188626707095805,0.00099003285643014,0.0020078850336392104,0.0020078850336392104
297.16,0.0016858908155993992,-0.00033215249929454966,0.0009888510824450402,0.0020075197593870386,0.0020075197593870386
297.18,0.0016852830071304554,-0.0003324808089332709,0.0009875542986907911,0.002007229858754289,0.002007229858754289
297.2,0.0016847283506617337,-0.0003328650961323898,0.0009861931950410387,0.0020070473141505277,0.0020070473141505277
297.22,0.0016842543901179803,-0.0003332960901661301,0.000984814770532969,0.0020069906924982325,0.0020069906924982325
297.24,0.001683832741218755,-0.00033375671537535677,0.0009834264750674662,0.002007015074864285,0.002007015074864285
297.26,0.001683427049288766,-0.0003342216575918343,0.000982045077101262,0.0020070595944315017,0.0020070595944315017
297.28,0.0016830365451801059,-0.00033466203840389346,0.0009807304103733954,0.002007095518592229,0.002007095518592229
297.3,0.001682693489254968,-0.00033505345518649866,0.0009795659454560665,0.002007131478229634,0.002007131478229634
297.32,0.0016824208022423793,-0.00033538333167485454,0.0009786009950406558,0.0020071782162605287,0.0020071782162605287
297.34,0.0016821927099801121,-0.00033565324950468476,0.0009778064658180225,0.0020072114900475976,0.0020072114900475976
297.36,0.0016819766366473457,-0.0003358748559964006,0.0009771253394443215,0.0020072100020695053,0.0020072100020695053
297.38,0.001681762154662685,-0.00033606268738662915,0.0009765166832703925,0.002007177400431305,0.002007177400431305
297.4,0.0016815485891113118,-0.0003362297417296881,0.0009759525452712568,0.0020071255964563984,0.0020071255964563984
297.42,0.0016813363100657377,-0.00033638815417450673,0.0009754078292622421,0.0020070667108894767,0.0020070667108894767
297.44,0.0016811248677275886,-0.00033655247577289536,0.0009748515492867559,0.0020070143839644086,0.0020070143839644086
297.46,0.0016809139652819466,-0.00033674197273099774,0.0009742429773688391,0.002006986974663075,0.002006986974663075
297.48,0.0016807058822603687,-0.0003369791498982747,0.0009735371654132922,0.0020070085543475247,0.0020070085543475247
297.5,0.0016805081115319608,-0.0003372839301391217,0.0009726997970958192,0.0020071059075370736,0.0020071059075370736
297.52,0.0016803264828112738,-0.0003376670873191399,0.0009717140925994469,0.0020072952964645323,0.0020072952964645323
297.54,0.0016801556883253386,-0.0003381284303391463,0.0009705751451830329,0.002007571228312325,0.002007571228312325
297.56,0.0016799892291527758,-0.0003386616024875069,0.0009692897958235591,0.0020079210488465186,0.0020079210488465186
297.58,0.0016798344617663641,-0.0003392603710813129,0.0009678784806112718,0.0020083460793264727,0.0020083460793264727
297.6,0.001679721639195601,-0.00033991932106274697,0.000966382816363278,0.0020088713292886204,0.0020088713292886204
297.62,0.0016796746466582221,-0.00034062833693829594,0.0009648479161999004,0.002009510888945387,0.002009510888945387
297.64,0.0016796717410684757,-0.0003413668933768916,0.0009632951105372309,0.0020102231401820307,0.0020102231401820307
297.66,0.0016796813183925494,-0.000342104002534985,0.000961757824983698,0.0020109464729060403,0.0020109464729060403
297.68,0.0016796919707775782,-0.0003428053056697898,0.0009602967553404932,0.0020116362091064893,0.0020116362091064893
297.7,0.0016797013240740066,-0.00034344400699353557,0.0009589657598476917,0.0020122640278144033,0.0020122640278144033
297.72,0.0016797087725578602,-0.00034400911045019683,0.0009577873085912983,0.0020128186756367614,0.0020128186756367614
297.74,0.0016797150689910466,-0.00034450579884652414,0.0009567512779368604,0.002013305923935858,0.002013305923935858
297.76,0.001679720580576661,-0.0003449483187228195,0.0009558281379628944,0.0020137399350833307,0.0020137399350833307
297.78,0.0016797216853063775,-0.0003453512715402777,0.0009549836247160748,0.0020141312259153664,0.0020141312259153664
297.8,0.001679706802066622,-0.0003457260725767381,0.0009541822015135155,0.0020144792689270868,0.0020144792689270868
297.82,0.0016796671603801184,-0.0003460836322032862,0.0009533922018823774,0.002014785858340069,0.002014785858340069
297.84,0.001679611202349214,-0.0003464388612429784,0.0009525907767676436,0.0020150738746615524,0.0020150738746615524
297.86,0.001679551305313818,-0.0003468130014674379,0.0009517457265186682,0.002015376264002074,0.002015376264002074
297.88,0.0016794964233718228,-0.0003472314111192673,0.0009508127896089104,0.002015726535279381,0.002015726535279381
297.9,0.0016794617057504795,-0.00034771671541301244,0.0009497596350463149,0.0020161617461027866,0.0020161617461027866
297.92,0.001679458113008476,-0.00034828140804152384,0.0009485710047088462,0.0020167049548873665,0.0020167049548873665
297.94,0.0016794750338387226,-0.0003489255101668573,0.0009472362428797114,0.0020173455708176117,0.0020173455708176117
297.96,0.0016794990886652538,-0.0003496412856073752,0.0009457582047726755,0.0020180627232406143,0.0020180627232406143
297.98,0.0016795361892363609,-0.00035042022100881113,0.0009441606678639666,0.002018854080278178,0.002018854080278178
298.0,0.0016796178984914562,-0.00035125507571409826,0.0009424903899979897,0.002019744193617686,0.002019744193617686
298.02,0.0016797676413095328,-0.0003521356089620839,0.000940792286837147,0.002020746571834024,0.002020746571834024
298.04,0.0016799616144232365,-0.00035304332989102865,0.0009390813591735448,0.002021819506642282,0.002021819506642282
298.06,0.0016801676124013818,-0.00035395052437977204,0.0009373835611372213,0.0020229039565539345,0.0020229039565539345
298.08,0.0016803736044934082,-0.00035482516617462714,0.0009357540707789086,0.0020239568792494314,0.0020239568792494314
298.1,0.0016805746817966367,-0.00035564007698671144,0.0009342450142845403,0.002024947048624309,0.002024947048624309
298.12,0.0016807683010987848,-0.000356381488617558,0.0009328827417405622,0.0020258585894843183,0.0020258585894843183
298.14,0.0016809571326593794,-0.0003570516533177475,0.0009316651969385472,0.0020266963529817295,0.0020266963529817295
298.16,0.0016811441777976233,-0.00035766387996640485,0.0009305674518051043,0.0020274762276509405,0.0020274762276509405
298.18,0.0016813267223365108,-0.0003582341306913639,0.0009295532947867229,0.0020282109557162274,0.0020282109557162274
298.2,0.0016814932245968583,-0.000358775949962989,0.0009285827604108458,0.0020289021108406257,0.0020289021108406257
298.22,0.0016816346752588408,-0.00035930126016595624,0.0009276218195975956,0.0020295522283532265,0.0020295522283532265
298.24,0.0016817594620284551,-0.00035982388935531487,0.0009266498411420108,0.0020301830859021457,0.0020301830859021457
298.26,0.0016818801521486318,-0.00036036182503971614,0.0009256416445408603,0.002030824668342468,0.002030824668342468
298.28,0.0016820058141654886,-0.00036093574216333735,0.0009245629108673301,0.0020315060641222316,0.0020315060641222316
298.3,0.001682151977299629,-0.0003615634194614068,0.0009233918597180235,0.0020322600179153204,0.0020322600179153204
