energy,Intensity
270.20248,0.00018676624553217372
270.29993,0.0001866713988946846
270.39966,0.0001865240409028896
270.50034,0.00018633794547231954
270.60019,0.0001861291820678945
270.69992,0.0001859090564665014
270.79974,0.00018568439878972
270.89999,0.00018545826204853188
271.00284,0.00018523037501274169
271.10022,0.00018500651617717174
271.20407,0.000184778697965593
271.3009,0.00018455596767847192
271.39999,0.00018433195918215813
271.49951,0.00018410797084260702
271.60025,0.00018388343376128807
271.70032,0.00018365969006270863
271.79929,0.00018343702473982661
271.90033,0.00018321335032732875
271.99982,0.000182991107650469
272.10043,0.00018276852905594693
272.19989,0.00018254718392609254
272.3006,0.00018232546879925115
272.40021,0.00018210487824062602
272.50015,0.00018188440475664172
272.60028,0.0001816641813100054
272.70056,0.0001814443213949727
272.80008,0.0001812255831818935
272.90082,0.00018100661195461247
272.99988,0.00018078918307804883
273.10071,0.00018057072005812626
273.19958,0.00018035350475685763
273.2999,0.00018013527216719354
273.3999,0.00017991738665054614
273.50037,0.00017969962186383803
273.60028,0.00017948275280604614
273.69934,0.0001792670483290005
273.79971,0.00017905095084443594
273.90002,0.00017883528137484955
274.00113,0.00017861944794519865
274.09979,0.00017840552622876146
274.20044,0.00017819067569530356
274.3002,0.00017797679609897683
274.40018,0.00017776316126899547
274.50262,0.00017754835083755318
274.60431,0.00017733435665709887
274.69995,0.00017712454630997764
274.80042,0.00017691192091490296
274.90005,0.00017670014381287183
275.00061,0.00017648819487754458
275.10025,0.00017627736538455396
275.2002,0.00017606695162565464
275.30032,0.0001758570388377615
275.39975,0.0001756480301710872
275.50021,0.00017543867699344135
275.60049,0.00017522959336267296
275.7002,0.00017502103809074752
275.80023,0.0001748124470835774
275.9003,0.00017460408968016173
276.00034,0.00017439607394593136
276.09976,0.00017418879308991515
276.20013,0.0001739812727485966
276.3006,0.00017377410548040668
276.40024,0.00017356786942022433
276.50119,0.0001733611937725959
276.59998,0.00017315623293786102
276.69983,0.00017295097304598987
276.79614,0.0001727482736893095
276.89978,0.00017254140314106614
277.00424,0.0001723344247718767
277.10025,0.00017213304566870483
277.20038,0.00017192955383892868
277.30017,0.00017172667750943633
277.39987,0.00017152426221563342
277.50009,0.0001713217955503328
277.6015,0.00017111881997525927
277.70065,0.00017091740537878949
277.80026,0.0001707159222478553
277.90018,0.00017051455520540308
277.99982,0.0001703138119093557
278.10037,0.00017011304146197464
278.2001,0.0001699133132334109
278.30005,0.0001697139751555945
278.40021,0.00016951498363009462
278.50024,0.0001693163553668369
278.60107,0.00016911733224974612
278.70062,0.00016891911835689456
278.79974,0.00016872125401523535
278.90073,0.00016852256406039458
279.00037,0.00016832508623442348
279.10046,0.0001681278774999308
279.20001,0.00016793144304698198
279.30035,0.0001677349194996658
279.4007,0.000167538757459848
279.49951,0.000167343836299116
279.60068,0.00016714784717421203
279.70053,0.00016695305522660688
279.80136,0.00016675805014153592
279.90027,0.00016656466236381222
280.00037,0.00016637100065557578
280.10049,0.00016617775835769998
280.19992,0.00016598521737980638
280.30188,0.00016579143054397773
280.39969,0.0001656001963495626
280.50018,0.0001654076158685779
280.6011,0.00016521499315449797
280.6998,0.000165024022392249
280.80011,0.0001648324756739945
280.89944,0.00016464189097750866
281.00034,0.00016445077073669223
281.10046,0.00016426049884997508
281.20065,0.00016407057497997468
281.30054,0.0001638812051986963
281.40079,0.0001636920153824104
281.50037,0.0001635035875849544
281.60001,0.00016331542700780954
281.70059,0.0001631270362060941
281.80048,0.0001629392903827714
281.90005,0.00016275201813612946
282.00061,0.00016256453408265765
282.10062,0.00016237773509980647
282.19745,0.00016219315015382276
282.29959,0.0001620059528330186
282.40039,0.00016181988859541245
282.50043,0.00016163464269426257
282.60052,0.00016144961853673448
282.6998,0.00016126528743303235
282.80014,0.0001610805232710211
282.90063,0.00016089592100005526
283.00006,0.00016071221997702567
283.10071,0.00016052819731428956
283.2001,0.00016034525549222172
283.30017,0.000160162295304058
283.40042,0.00015997958688711902
283.49969,0.00015979777722972016
283.60052,0.00015961545956755247
283.70074,0.00015943385441374348
283.79922,0.0001592535245300228
283.8996,0.0001590724926845334
284.00162,0.00015889090020841992
284.10016,0.0001587116639712076
284.19189,0.00015853655012216015
284.3002,0.00015835261773907203
284.39975,0.00015817378057056934
284.50168,0.00015799389645411636
284.60059,0.00015781588112879106
284.70032,0.00015763772772384093
284.79977,0.0001574600395404722
284.89734,0.0001572837379015956
284.99948,0.00015710531796752806
285.09964,0.00015692835690123597
285.20053,0.00015675137957432448
285.29276,0.00015657948151948198
285.39969,0.00015639993007434365
285.50009,0.00015622424813878204
285.60031,0.00015604899108562513
285.69965,0.00015587456701428946
285.7995,0.00015570031084647236
285.90015,0.0001555260154709997
286.00031,0.0001553522407429726
286.09973,0.00015517903301524147
286.19955,0.00015500571754745887
286.30014,0.00015483214558023147
286.39948,0.00015465958046137436
286.49997,0.00015448677342788986
286.60059,0.00015431420448492418
286.70001,0.00015414256358637702
286.79974,0.00015397096320783884
286.89078,0.00015380425469190608
286.99942,0.0001536285028789334
287.10193,0.00015345632386762378
287.1998,0.0001532869713784396
287.3002,0.00015311661745728557
287.40057,0.00015294675239454356
287.49646,0.000152779727885415
287.59875,0.00015260994412459776
287.70023,0.00015244112442736813
287.80014,0.00015227354727485924
287.90039,0.00015210602546866705
287.99994,0.0001519388997071529
288.10068,0.0001517711392496552
288.20053,0.00015160389045161828
288.30042,0.00015143681896691608
288.39999,0.00015127023128036127
288.5004,0.0001511035735347828
288.59949,0.00015093795055222333
288.69995,0.00015077198362901262
