Energy,Difference
270.2,-3.3014703476780924e-06
270.21999999999997,-3.153943329091569e-06
270.23999999999995,-3.0143016862668082e-06
270.25999999999993,-3.2969043882697647e-06
270.2799999999999,-3.6084967863454076e-06
270.2999999999999,-3.977763463258307e-06
270.3199999999999,-4.323671084142893e-06
270.33999999999986,-4.496118594973195e-06
270.35999999999984,-4.440289036892677e-06
270.3799999999998,-4.3835015429144385e-06
270.3999999999998,-4.322838781670438e-06
270.4199999999998,-4.256327305242103e-06
270.43999999999977,-4.1830636019880176e-06
270.45999999999975,-4.102798626666923e-06
270.47999999999973,-4.015498193786552e-06
270.4999999999997,-3.9215753893635205e-06
270.5199999999997,-3.71978719334294e-06
270.5399999999997,-3.528140362731691e-06
270.55999999999966,-3.3792058879772842e-06
270.57999999999964,-3.276713581249766e-06
270.5999999999996,-3.223607895166476e-06
270.6199999999996,-3.2172711439196496e-06
270.6399999999996,-3.2454670204446088e-06
270.65999999999957,-3.2869114862081132e-06
270.67999999999955,-3.31656025539555e-06
270.69999999999953,-3.3129709592545593e-06
270.7199999999995,-3.2639394221429303e-06
270.7399999999995,-3.1675588759145897e-06
270.7599999999995,-2.8702060912254546e-06
270.77999999999946,-2.382244892122882e-06
270.79999999999944,-1.9561106876795014e-06
270.8199999999994,-1.6131314193913131e-06
270.8399999999994,-1.6601451797169178e-06
270.8599999999994,-1.7678442137210614e-06
270.87999999999937,-1.9121383770943837e-06
270.89999999999935,-2.09259354569546e-06
270.91999999999933,-2.207506810946133e-06
270.9399999999993,-2.040112782093574e-06
270.9599999999993,-1.8646362507263802e-06
270.9799999999993,-1.783409843516461e-06
270.99999999999926,-1.972540488813956e-06
271.01999999999924,-2.210150935622265e-06
271.0399999999992,-2.481687892690238e-06
271.0599999999992,-2.7634927092710345e-06
271.0799999999992,-3.0275433714184107e-06
271.09999999999917,-3.2497665478890116e-06
271.11999999999915,-3.4171124161531647e-06
271.13999999999913,-3.52917187237381e-06
271.1599999999991,-3.593632543992017e-06
271.1799999999991,-3.61933178965006e-06
271.1999999999991,-3.6127919440741856e-06
271.21999999999906,-3.5802633141963786e-06
271.23999999999904,-3.5318568109446737e-06
271.259999999999,-3.4834886387906454e-06
271.279999999999,-3.4545157197471822e-06
271.299999999999,-3.461525175401505e-06
271.31999999999897,-3.5117376644978208e-06
271.33999999999895,-3.600219492188192e-06
271.35999999999893,-3.6776104193765976e-06
271.3799999999989,-3.6679671482864616e-06
271.3999999999989,-3.766894014596866e-06
271.4199999999989,-3.8008726600782724e-06
271.43999999999886,-3.635891403584896e-06
271.45999999999884,-3.5884387284319607e-06
271.4799999999988,-3.536236721303797e-06
271.4999999999988,-3.477290834436107e-06
271.5199999999988,-3.3736586194617858e-06
271.53999999999877,-3.236586875021942e-06
271.55999999999875,-3.049471312775062e-06
271.57999999999873,-2.831412361155953e-06
271.5999999999987,-2.5986851398685025e-06
271.6199999999987,-2.317776710436906e-06
271.6399999999987,-1.951871393745366e-06
271.65999999999866,-1.7368972191595073e-06
271.67999999999864,-1.5575167227036214e-06
271.6999999999986,-1.440027082989854e-06
271.7199999999986,-1.4947428148375766e-06
271.7399999999986,-1.8363705973335788e-06
271.75999999999857,-2.120716899759304e-06
271.77999999999855,-2.3534597466353665e-06
271.79999999999853,-2.6189738055304243e-06
271.8199999999985,-2.9032176132323562e-06
271.8399999999985,-2.9718664774496573e-06
271.8599999999985,-3.1350685466215696e-06
271.87999999999846,-3.3498327557096713e-06
271.89999999999844,-3.4886286100115656e-06
271.9199999999984,-3.544124320625362e-06
271.9399999999984,-3.524620034060077e-06
271.9599999999984,-3.450501590384732e-06
271.97999999999837,-3.345640305374369e-06
271.99999999999835,-3.2302672880901965e-06
272.01999999999833,-3.1191323930875714e-06
272.0399999999983,-3.023786434254014e-06
272.0599999999983,-2.8933566751520333e-06
272.0799999999983,-2.7513813189514965e-06
272.09999999999826,-2.66442812010352e-06
272.11999999999824,-2.640503878733396e-06
272.1399999999982,-2.675090413377834e-06
272.1599999999982,-2.754704487523853e-06
272.1799999999982,-2.863550307260352e-06
272.19999999999817,-2.987803784932118e-06
272.21999999999815,-3.11516548761519e-06
272.23999999999813,-3.2317360451298486e-06
272.2599999999981,-3.3194116967365756e-06
272.2799999999981,-3.3569038066562164e-06
272.2999999999981,-3.3259363157855226e-06
272.31999999999806,-3.2194178726511207e-06
272.33999999999804,-3.0453851982754267e-06
272.359999999998,-2.8234799239256557e-06
272.379999999998,-2.76152151764009e-06
272.399999999998,-2.731157800775034e-06
272.41999999999797,-2.564987621146217e-06
272.43999999999795,-2.4022377784284514e-06
272.45999999999793,-2.286923307998177e-06
272.4799999999979,-2.224804856696536e-06
272.4999999999979,-2.220876908738389e-06
272.5199999999979,-2.2242159769661073e-06
272.53999999999786,-2.1481036424921813e-06
272.55999999999784,-2.086585289286911e-06
272.5799999999978,-2.2188747776138917e-06
272.5999999999978,-2.5063814379306814e-06
272.6199999999978,-2.7390175215301036e-06
272.63999999999777,-2.7336158632553512e-06
272.65999999999775,-2.5679427459559444e-06
272.67999999999773,-2.27403431080662e-06
272.6999999999977,-2.416849093609092e-06
272.7199999999977,-2.340566365362066e-06
272.7399999999977,-2.4050320350464967e-06
272.75999999999766,-2.4386629550110525e-06
272.77999999999764,-2.4471028648797594e-06
272.7999999999976,-2.4353692133922436e-06
272.8199999999976,-2.4090441224075837e-06
272.8399999999976,-2.3763068507726877e-06
272.85999999999757,-2.34865423316685e-06
272.87999999999755,-2.339356336858503e-06
272.89999999999753,-2.3598178519317946e-06
272.9199999999975,-2.4156885155188377e-06
272.9399999999975,-2.505340834633298e-06
272.9599999999975,-2.831306275197445e-06
272.97999999999746,-3.2659826838358967e-06
272.99999999999744,-3.66511007332303e-06
273.0199999999974,-3.842966794386174e-06
273.0399999999974,-3.864104714789206e-06
273.0599999999974,-3.867940196637665e-06
273.07999999999737,-3.846213524640891e-06
273.09999999999735,-3.8780524178839245e-06
273.11999999999733,-3.8433925043830285e-06
