energy,n_xx,n_zz,n_ixx,n_izz
10.0,-0.18731263708530488,-0.1858143172513837,0.24037907738726805,0.24037907738726805
10.1617,-0.19986952731206375,-0.19841855196587607,0.2427043134904113,0.2427043134904113
10.171975,-0.19591258748720028,-0.19446454451470851,0.24286950611748104,0.24286950611748104
10.18225,-0.19221348172925967,-0.19076836225979085,0.2430335379994567,0.2430335379994567
10.192525,-0.18874978223411018,-0.18730757742898962,0.2431964151463633,0.2431964151463633
10.2028,-0.1854979506928781,-0.18405865175156383,0.24335814353395702,0.24335814353395702
10.213075,-0.1824374065881486,-0.18100100474360245,0.24351872910394748,0.24351872910394748
10.22335,-0.17955029094396574,-0.17811677746598162,0.2436781777642192,0.2436781777642192
10.2439,-0.17423637168435915,-0.1728086088875724,0.24399368781933597,0.24399368781933597
10.26445,-0.16945442214539438,-0.16803237552568892,0.24430472029418918,0.24430472029418918
10.285,-0.1651262573336972,-0.1637098926600589,0.24461132125634968,0.24461132125634968
10.30555,-0.16119203793087444,-0.1597813212478815,0.24491353625287662,0.24491353625287662
10.3261,-0.1576160251976792,-0.1562109228184196,0.2452114103170164,0.2452114103170164
10.346975,-0.1542830149665139,-0.15288358146685682,0.24556437598860192,0.24556437598860192
10.36785,-0.15119295160990204,-0.14979915278351694,0.24591251369051328,0.24591251369051328
10.388725,-0.1483317910788398,-0.1469435929921741,0.24625587302100613,0.24625587302100613
10.409600000000001,-0.14567845816435182,-0.1442958271577159,0.24659450301642108,0.24659450301642108
10.430475000000001,-0.14321430422708656,-0.14183720690844587,0.24692845215844564,0.24692845215844564
10.451350000000001,-0.14092376649670618,-0.1395521697417966,0.2472577683812687,0.2472577683812687
10.472225000000002,-0.13879517745947328,-0.1374290484066175,0.24758249907863047,0.24758249907863047
10.4931,-0.13683055604276392,-0.13546986209370981,0.24790269111076946,0.24790269111076946
10.535525,-0.13319962459041354,-0.13184987720892227,0.2486490992696568,0.2486490992696568
10.577950000000001,-0.12997995100386783,-0.12864101874603012,0.24937558157045803,0.24937558157045803
10.620375000000001,-0.12715112221995095,-0.12582287573546166,0.250082543179131,0.250082543179131
10.6628,-0.12472091770756213,-0.1234032297028072,0.2507703801760328,0.2507703801760328
10.705925,-0.12254278781527914,-0.1212357041145376,0.2516303374424831,0.2516303374424831
10.74905,-0.12055782169730561,-0.11926121492535736,0.2524684490571351,0.2524684490571351
10.792175,-0.11880830680133106,-0.11752205161284496,0.2532851553495763,0.2532851553495763
10.8353,-0.11737034544678937,-0.11609431848937087,0.25408088680965946,0.25408088680965946
10.92295,-0.11478232074328355,-0.11352671020686543,0.25627175316000295,0.25627175316000295
10.966775,-0.11359895898987275,-0.11235337358452246,0.2573288011656161,0.2573288011656161
11.0106,-0.1125778607307199,-0.11134218098673301,0.25836093344342115,0.25836093344342115
11.099599999999999,-0.11069137601240564,-0.10947545284462125,0.26073740010274404,0.26073740010274404
11.144099999999998,-0.10982722705552905,-0.10862100514679598,0.26188486269730377,0.26188486269730377
11.1886,-0.10910003561537582,-0.10790339944286108,0.2630058575438622,0.2630058575438622
11.3696,-0.10636399052164607,-0.10520519050123685,0.26811763212799283,0.26811763212799283
11.5535,-0.10394108087840938,-0.10281891647766052,0.2734325408236222,0.2734325408236222
11.7404,-0.10159582119624784,-0.10050914015454394,0.27894762631905196,0.27894762631905196
11.83535,-0.10034197070925842,-0.09927267562955025,0.2818558443186151,0.2818558443186151
11.9303,-0.09886783884216055,-0.09781551627349994,0.28463651005743884,0.28463651005743884
12.02675,-0.09738185063603966,-0.09634635878782927,0.2870801743816569,0.2870801743816569
12.1232,-0.09611839309817916,-0.09509933186784413,0.2894103504543504,0.2894103504543504
12.3193,-0.09380849045384054,-0.09282165350959513,0.29428170002089615,0.29428170002089615
12.5186,-0.09155541759689506,-0.09059979149527,0.2995517317899521,0.2995517317899521
12.569199999999999,-0.090992534063435,-0.09004459666871806,0.30105571426336336,0.30105571426336336
12.6198,-0.09030702088219292,-0.0893666798969909,0.30252599220071497,0.30252599220071497
12.721,-0.08886331036776825,-0.08793789115986457,0.30536806814459705,0.30536806814459705
12.77245,-0.08809508170110274,-0.08717711307786905,0.3069057261095128,0.3069057261095128
12.8239,-0.08723366243025667,-0.08632305489602174,0.3084089263020691,0.3084089263020691
12.9268,-0.08544147126896126,-0.08454532311082782,0.3113146471603374,0.3113146471603374
12.979075,-0.08448357604805527,-0.08359464212405383,0.31289949283509055,0.31289949283509055
13.03135,-0.0834075335375514,-0.08252572720484785,0.31444893987638955,0.31444893987638955
13.1359,-0.08110063858649191,-0.08023283300466937,0.31744440312663613,0.31744440312663613
13.189,-0.0798216177432636,-0.07896079586217881,0.3190663552248082,0.3190663552248082
13.2421,-0.07836311288107531,-0.07750919085847033,0.3206521350144479,0.3206521350144479
13.295200000000001,-0.07672570355437199,-0.07587859888366778,0.32220245234634953,0.32220245234634953
13.321750000000002,-0.07580587369605461,-0.07496214717187281,0.322964530121533,0.322964530121533
13.335025000000002,-0.07529895567495684,-0.07445691066284675,0.3233423362747234,0.3233423362747234
13.3483,-0.07470127625924262,-0.073860907744223,0.3237180013947688,0.3237180013947688
13.36179375,-0.07409415886222866,-0.07325548935272502,0.3238915111882739,0.3238915111882739
13.375287499999999,-0.07357722936048304,-0.07274025371607022,0.32406366219358274,0.32406366219358274
13.402275,-0.07263112212915003,-0.07179751888051913,0.3244039164187776,0.3244039164187776
13.45625,-0.0709065669919822,-0.07007964776445523,0.3250684314964897,0.3250684314964897
