energy,delta
10.0,0.046063813471949974
10.1617,0.04285119344187843
10.2439,0.053426674765438956
10.3261,0.06012741606746883
10.4931,0.06799177674751465
10.6628,0.07183859914315867
10.8353,0.07325553784827304
11.0106,0.07253908900950909
11.1886,0.07110551673177916
11.3696,0.07003353831905529
11.5535,0.06890536882365338
11.7404,0.06770164966403457
11.9303,0.06643132402808283
12.1232,0.0651263395345045
12.3193,0.0638253148041975
12.5186,0.06254493970462377
12.721,0.06129827922333286
12.9268,0.06010313596452607
13.1359,0.05896336267910304
13.3483,0.05787572813409038
13.5642,0.05685382149128582
13.7836,0.055920926042478926
14.0066,0.05511935392824351
14.2331,0.05452479979169766
14.4633,0.053957723677556704
14.6973,0.05328975036928995
14.935,0.052630683733667194
15.1765,0.052017959581343864
15.422,0.05150527398632203
15.6714,0.0511239689911603
15.9249,0.05072537271591982
16.1825,0.050238452210703374
16.4442,0.04974728289610485
16.7102,0.04928086095943754
16.9805,0.048867456987167913
17.2551,0.04858442882692756
17.5342,0.04837518418889572
17.8178,0.04809576170044717
18.106,0.04776837086833621
18.3989,0.04747159766174615
18.6964,0.04728294058425601
18.9988,0.04755167991677487
19.3061,0.047599043920331506
19.6184,0.046736581519959394
19.9357,0.04564637285966134
20.2582,0.04461887931661652
20.5858,0.043494023092885255
20.9188,0.042109400271322
21.2571,0.04072404097896043
21.6009,0.0395461100775749
21.9503,0.03826094257850326
22.3053,0.037059997617784765
22.6661,0.036239098778215885
23.0327,0.03571587011494369
23.4053,0.035461173471470174
23.7838,0.03565665851833926
24.1685,0.03604770041437084
24.5594,0.03618990541666825
24.9566,0.03615655842701868
25.3603,0.03609517088638957
25.7705,0.036151887213723304
26.1873,0.03619981911383624
26.6109,0.03602577412429355
27.0413,0.03569992114220742
27.4786,0.03530998682639659
27.9231,0.03488277493964548
28.3747,0.03437723781792933
28.8337,0.033783247518888684
29.3,0.03313657049992885
29.7739,0.032449184001791614
30.2555,0.03172301042117848
30.7449,0.03097548849839705
31.2421,0.030224893620356623
31.7475,0.029468978236779853
32.2609,0.028707854617317924
32.7827,0.027942010973074128
33.313,0.027172312583438142
33.8518,0.026398951241504532
34.3993,0.0256180322288955
34.9557,0.024832317169867182
35.5211,0.024056686467765362
36.0956,0.023294063382096972
36.6794,0.02253710540780674
37.2727,0.021782062861009244
37.8755,0.02102329444292579
38.4882,0.020234971990710785
39.1107,0.01945958424019098
39.7432,0.01873762589605758
40.3861,0.01804139497407633
41.0393,0.017360905562830813
41.7031,0.01668789972191652
42.3776,0.01600124514962667
43.063,0.015320157497666737
43.7595,0.014684561619448038
44.4673,0.014087468022732445
45.1865,0.013513495017913785
45.9174,0.012956014062804302
46.66,0.012409349810060848
47.4147,0.01186248101148789
48.1816,0.011306979411537266
48.9609,0.010776706518388605
49.7528,0.010289210184526339
50.5576,0.009824661784028547
51.3753,0.00937688680574516
52.2062,0.008939908576620454
53.0506,0.008513877151691152
53.9087,0.00810098617636443
54.7806,0.007697908556774592
55.6667,0.007301250067793468
56.567,0.006909758521197796
57.482,0.006528056104168959
58.4117,0.006128813775138597
59.3564,0.005683505746180469
60.3165,0.005174121245304664
61.2921,0.004573794469717249
62.2834,0.003962600502591713
63.2908,0.0033571194819926
63.80265,0.0030066359170377323
64.05857499999999,0.002802723488002183
64.3145,0.0025346977165336725
64.57454999999999,0.0022640220860461143
64.8346,0.0020569357314761632
65.3547,0.0016489697542188745
65.618975,0.001450332330766434
65.88325,0.0013160026686737986
66.4118,0.0011169177745539785
66.680325,0.0010474688837566976
66.94885,0.001020769461480333
67.4859,0.001036050145266872
67.75880000000001,0.001088149295404337
68.0317,0.0012047157965645058
68.3046,0.0013868065307850606
68.44104999999999,0.0015143385387012993
68.509275,0.0015947739987970083
68.5775,0.0017069393226232514
68.646825,0.0018210362323141382
68.71615,0.0019041236293952852
68.85480000000001,0.0020406678717691936
69.13210000000001,0.002258850051460268
69.6867,0.0026073167960655127
70.8138,0.0031603944809253915
71.38645,0.003411362402587792
71.9591,0.0036850637779759976
72.25007500000001,0.0038285161984949064
72.54105000000001,0.0039423773645991846
73.123,0.004134994354085669
74.3057,0.00444725938477622
75.5076,0.004705174050351922
76.7289,0.004949636287119933
77.9699,0.005169628552587252
79.231,0.005337391360178298
80.5125,0.00546934617335753
81.8147,0.005583269108299386
83.138,0.00570391256982749
84.4827,0.005807940228232609
85.8491,0.005862470647623953
87.2377,0.005882738768183844
88.6487,0.005879387617242039
90.0825,0.005856319170370175
91.5395,0.005813056363502895
93.0201,0.0057511551636213075
94.5246,0.005686395163845616
96.0535,0.00562603032170946
97.6071,0.005564436853039851
99.1858,0.005500899738943704
100.79,0.0054354189798634794
102.42,0.005368248738586464
104.077,0.0052997707127592905
105.76,0.0052307206062013785
107.471,0.0051632824207068
109.209,0.005094803124721094
110.975,0.005021689774802095
112.77,0.004945608603599766
114.594,0.004867801724415921
116.448,0.0047888815743871585
118.331,0.004709534437564381
120.245,0.0046313582810957685
122.19,0.004552449658459974
124.166,0.004469951306264444
126.175,0.004384644993495404
128.215,0.004297217320077736
130.289,0.004207292111026835
132.397,0.004113632067718677
134.538,0.0040087489053305106
136.714,0.0039057894974215256
138.925,0.0038182667926275784
141.172,0.003738749618019134
143.456,0.0036647922524280724
145.776,0.0035955469160232198
148.134,0.0035306193074311123
150.53,0.0034700345581568123
152.964,0.0034142481613305764
155.439,0.0033651203164023905
157.953,0.0033279392350845345
159.23000000000002,0.0033114840827725674
160.507,0.0032893656208792398
163.103,0.0032394102627460925
165.742,0.003185741762398253
168.422,0.003130194207574928
171.146,0.0030736071601095197
173.915,0.0030165258238294248
176.727,0.0029593848811944197
179.586,0.002902382386981191
182.491,0.0028457860213119642
185.442,0.0027897991660860277
188.442,0.002734557782373448
191.489,0.002680297298710162
194.587,0.00262715950259716
197.734,0.0025755053792695733
200.932,0.0025258914362948884
204.182,0.0024809202773923567
207.485,0.0024366003386626753
210.84,0.0023882291074383975
214.251,0.002337945051051281
217.716,0.0022870093341900767
221.237,0.002235884988975325
224.816,0.0021848512332990214
228.452,0.0021341357662192847
232.147,0.002083865338793001
235.902,0.0020341517722819746
239.717,0.0019850958882900315
243.595,0.00193674380690734
247.535,0.0018891796915505945
251.538,0.0018424499222466882
255.607,0.001796579477916585
259.741,0.0017516337362588257
263.942,0.0017076443284506147
268.211,0.0016646648124686886
272.549,0.0016227660514080084
276.957,0.00158207543846738
281.437,0.0015429929053434634
285.989,0.0015059243204374572
290.615,0.0014689480709642207
295.315,0.0014310255496083738
