energy,delta
10.0,0.03101767872922349
10.1617,0.02828003199691941
10.2439,0.03908838815006209
10.3261,0.046016465112197175
10.4931,0.054326343524646166
10.6628,0.05860461342365816
10.8353,0.06043950713617683
11.0106,0.06012783244641206
11.1886,0.05908595570379033
11.3696,0.05839355955399619
11.5535,0.05763292812758226
11.7404,0.05678518711735344
11.9303,0.05585955435676449
12.1232,0.05488825586990316
12.3193,0.05391051302456915
12.5186,0.05294325253978802
12.721,0.05199963466846242
12.9268,0.051098145244157754
13.1359,0.05024271097660237
13.3483,0.04943033100137579
13.5642,0.04867506794544984
13.7836,0.048000404503867736
14.0066,0.04744896510789467
14.2331,0.04709652980439006
14.4633,0.04676396494214097
14.6973,0.04632317008850531
14.935,0.04588402799984378
15.1765,0.04548424546543291
15.422,0.04517785630060157
15.6714,0.044996276290775884
15.9249,0.04479114835075263
16.1825,0.04449158533498336
16.4442,0.04418181082915734
16.7102,0.04389109980017112
16.9805,0.043647855462204906
17.2551,0.043529570415617204
17.5342,0.043479900225525205
17.8178,0.04335500490138645
18.106,0.04317726786700564
18.3989,0.04302544073710792
18.6964,0.04297708791238935
18.9988,0.043381741241338714
19.3061,0.04356073076753114
19.6184,0.042825748764758226
19.9357,0.041858974466785444
20.2582,0.04095104199954663
20.5858,0.039941930067844945
20.9188,0.03866943059323477
21.2571,0.037392626192305545
21.6009,0.03631983109634368
21.9503,0.03513649060937936
22.3053,0.03403414273926343
22.6661,0.033308742665591674
23.0327,0.032877987758684286
23.4053,0.032712861154495204
23.7838,0.03299505859631525
24.1685,0.033470091780684885
24.5594,0.03369363093546767
24.9566,0.033739045252564666
25.3603,0.033753945927407616
25.7705,0.03388453567313329
26.1873,0.034004002102242845
26.6109,0.033899242055635714
27.0413,0.03364047785133987
27.4786,0.03331550480499955
27.9231,0.03295122073569543
28.3747,0.032506612016037106
28.8337,0.03197163820934352
29.3,0.03138209873399941
29.7739,0.030750052317792265
30.2555,0.030077474993517126
30.7449,0.029381857672328354
31.2421,0.028681516620596634
31.7475,0.02797428325145334
32.2609,0.02726028825048439
32.7827,0.026540093482227994
33.313,0.025814607247372993
33.8518,0.025084055587277942
34.3993,0.02434459326959133
34.9557,0.02359902892195972
35.5211,0.02286228094058745
36.0956,0.022137309711224323
36.6794,0.021416815092821416
37.2727,0.020697087765859535
37.8755,0.019972513865032692
38.4882,0.019217314124699236
39.1107,0.018473997294069566
39.7432,0.017783093812955522
40.3861,0.0171169449732393
41.0393,0.01646558317031673
41.7031,0.015820786551866275
42.3776,0.015161448855876135
43.063,0.014506815066612827
43.7595,0.013896838174596771
44.4673,0.013324555703191078
45.1865,0.012774608663547026
45.9174,0.012240397050792447
46.66,0.01171626360783186
47.4147,0.011191216700116139
48.1816,0.010656847643366295
48.9609,0.010147039801393863
49.7528,0.00967936210212219
50.5576,0.009234008583200991
51.3753,0.008804819601269432
52.2062,0.008385839891520443
53.0506,0.007977239853809184
53.9087,0.007581230572974541
54.7806,0.007194500012241607
55.6667,0.006813674051517659
56.567,0.006437512771948475
57.482,0.006070658712578093
58.4117,0.005685794252338815
59.3564,0.005254409499663498
60.3165,0.004758510245435786
61.2921,0.004171242414344166
62.2834,0.0035726939572755943
63.2908,0.002979459895163647
63.80265,0.0026349778093179297
64.05857499999999,0.0024340123134131866
64.3145,0.0021688983636281123
64.57454999999999,0.001901146094751444
64.8346,0.001696947994241005
65.3547,0.001294655430623441
65.618975,0.0010988492480148164
65.88325,0.0009673168229945495
66.4118,0.0007737265500769096
66.680325,0.0007070192296720027
66.94885,0.000683028453652183
67.4859,0.0007036297480478715
67.75880000000001,0.0007583841970453198
68.0317,0.0008775741053786427
68.3046,0.0010622568636023194
68.44104999999999,0.0011910732711035554
68.509275,0.0012721480548050286
68.5775,0.001384950794943116
68.646825,0.0014996934523012389
68.71615,0.0015834246434994926
68.85480000000001,0.0017212506449039646
69.13210000000001,0.0019419732439943898
69.6867,0.0022954301433997897
70.8138,0.0028582903069953
71.38645,0.0031140518687840127
71.9591,0.00339243288926821
72.25007500000001,0.003538220608454906
72.54105000000001,0.0036543890257429066
73.123,0.0038515381555214575
74.3057,0.004172687914703033
75.5076,0.0044392071910162615
76.7289,0.004692001983124474
77.9699,0.004920063277378696
79.231,0.00509564043265603
80.5125,0.0052351627932239134
81.8147,0.0053564141019433005
83.138,0.005484154670819523
84.4827,0.005595055247402571
85.8491,0.005656241256632853
87.2377,0.005682955198020575
88.6487,0.005685845992205748
90.0825,0.005668822231466039
91.5395,0.005631413210558691
93.0201,0.00557518101232153
94.5246,0.005515910760513418
96.0535,0.0054608624728835755
97.6071,0.005404417505534176
99.1858,0.005345866155306641
100.79,0.0052852135507175674
102.42,0.005222718524342578
104.077,0.00515876972837648
105.76,0.005094103660471027
107.471,0.005030912926955094
109.209,0.004966545272553487
110.975,0.004897413428678513
112.77,0.00482518890424626
114.594,0.004751116727705242
116.448,0.004675814202230898
118.331,0.0045999685213608575
120.245,0.004525184137036856
122.19,0.004449560146648887
124.166,0.004370241873232225
126.175,0.004288016696264403
128.215,0.004203570574387072
130.289,0.004116534074108164
132.397,0.0040256719816730525
134.538,0.003923496906152832
136.714,0.0038231604096618816
138.925,0.0037381774496311115
141.172,0.0036611199595461157
143.456,0.003589545142902546
145.776,0.003522606037327579
148.134,0.003459912145414838
150.53,0.0034014903001926148
152.964,0.003347797721800493
155.439,0.003300698754670365
157.953,0.0032654815008181155
159.23000000000002,0.003249988389460709
160.507,0.0032288090564243205
163.103,0.003180695165319235
165.742,0.0031288104737937595
168.422,0.00307498912625809
171.146,0.0030200739982678107
173.915,0.0029646121278543982
176.727,0.0029090383120349726
179.586,0.0028535540567101525
182.491,0.0027984276333128553
185.442,0.002743863602675225
188.442,0.002690000461286703
191.489,0.0026370737891330902
194.587,0.002585228148818472
197.734,0.0025348246687505655
200.932,0.002486421645198121
204.182,0.0024426229838761006
207.485,0.002399438367402381
210.84,0.002352165838417566
214.251,0.00230294601440536
217.716,0.0022530402424291
221.237,0.0022029129686621613
224.816,0.002152844724664706
228.452,0.0021030636793321483
232.147,0.002053697829926944
235.902,0.0020048599305941554
239.717,0.001956651484170408
243.595,0.0019091199195998409
247.535,0.0018623498096789304
251.538,0.0018163883663831596
255.607,0.0017712617263566555
259.741,0.0017270356480454934
263.942,0.0016837426702221603
268.211,0.0016414370466389858
272.549,0.0016001903126400179
276.957,0.0015601305110522538
281.437,0.0015216583344349068
285.989,0.0014851801124819042
290.615,0.001448774940545462
295.315,0.0014114046473951822
300.092,0.0013741142236527843
304.945,0.0013371876308107575
309.878,0.0013007424056588374
314.89,0.0012648813242564483
319.983,0.0012296542373116876
325.158,0.0011951011188575148
330.418,0.0011612403631094488
335.762,0.0011281081641100043
341.192,0.0010957132535547762
346.711,0.0010640589363127629
352.319,0.0010331658419804554
358.017,0.001003051006087319
363.808,0.000973738700148016
369.692,0.0009454001109506321
375.672,0.0009177737529354953
381.748,0.0008905173180409514
387.922,0.0008637369771408133
394.197,0.0008375213176361941
400.573,0.0008119049639862975
407.052,0.0007868967849456497
413.635,0.0007625021729105726
420.326,0.0007387120932362817
427.124,0.0007155324701766994
434.032,0.0006929523089011569
441.052,0.0006709638114241621
448.186,0.00064955917850026
455.435,0.0006287328675665945
462.802,0.0006084740738254116
470.287,0.0005887819111924866
477.894,0.0005696485765644899
485.623,0.0005510860531516529
493.478,0.0005331481768702973
501.459,0.0005158676849557922
509.57,0.0004989096824916796
517.812,0.00048211368422492373
526.187,0.00046563889288714756
534.698,0.0004495153726591583
543.346,0.0004337546848113857
552.134,0.00041835541622395117
561.065,0.00040331123568934386
570.139,0.0003886165889501397
579.361,0.00037425431765766414
588.732,0.00036020906189145854
598.254,0.000346454597779025
607.93,0.00033290713814338905
617.763,0.000319655766054474
627.755,0.00030681944480579664
