energy,delta
10.0,0.05021191279990233
10.1617,0.04686834604694384
10.2439,0.057379625454175305
10.3261,0.06401769195012352
10.4931,0.07175922659450429
10.6628,0.07548710201557315
10.8353,0.07678881353027696
11.0106,0.07596077136940584
11.1886,0.07441921144928977
11.3696,0.07324258493597646
11.5535,0.0720130878378989
11.7404,0.07071122806203706
11.9303,0.06934587307883017
12.1232,0.06794889375263707
12.3193,0.0665587425310726
12.5186,0.0651920439837545
12.721,0.06386183683388527
12.9268,0.06258573532443652
13.1359,0.06136757181584156
13.3483,0.06020405156565018
13.5642,0.059108633202854165
13.7836,0.05810454504638934
14.0066,0.057234013140147685
14.2331,0.05657270858222313
14.4633,0.05594097940213084
14.6973,0.0552103746271549
14.935,0.054490676375265806
15.1765,0.053819245749814365
15.422,0.05324968571239709
15.6714,0.05281331797458143
15.9249,0.052361383870220414
16.1825,0.051822810252386574
16.4442,0.05128163169295472
16.7102,0.050766767522072015
16.9805,0.05030645176201098
17.2551,0.049978005109746176
17.5342,0.04972476694350941
17.8178,0.04940274242662339
18.106,0.04903409311836491
18.3989,0.04869735932023462
18.6964,0.048470021369026825
18.9988,0.04870129018964288
19.3061,0.04871236598261407
19.6184,0.04781475815303345
19.9357,0.046690519526386594
20.2582,0.045630063853925755
20.5858,0.04447329776077234
20.9188,0.0430577633384059
21.2571,0.041642476242528786
21.6009,0.040435560155087195
21.9503,0.03912231968057054
22.3053,0.037894192210343534
22.6661,0.037046965047252974
23.0327,0.03649824203373582
23.4053,0.03621885157406747
23.7838,0.03639043063665446
24.1685,0.03675831673778471
24.5594,0.036878098498457544
24.9566,0.036823037582287006
25.3603,0.03674061792859862
25.7705,0.03677696788493101
26.1873,0.03680517822914195
26.6109,0.03661203187833677
27.0413,0.03626768300187928
27.4786,0.03585983933042678
27.9231,0.035415278696052266
28.3747,0.03489294405126472
28.8337,0.03428268332881011
29.3,0.033620253899051614
29.7739,0.0329176105373406
30.2555,0.03217666085328356
30.7449,0.031414829204174675
31.2421,0.030650379706568184
31.7475,0.02988104304068799
32.2609,0.029106926398887345
32.7827,0.028328497686729057
33.313,0.02754661032281105
33.8518,0.02676144665823999
34.3993,0.025969098331730327
34.9557,0.02517231400903617
35.5211,0.02438596361915087
36.0956,0.023612960186076472
36.6794,0.022845949525413523
37.2727,0.02208117082498497
37.8755,0.02131297522294827
38.4882,0.020515521075713607
39.1107,0.019731291601597332
39.7432,0.01900077165345602
40.3861,0.01829624731604654
41.0393,0.01760772763086123
41.7031,0.01692694470840303
42.3776,0.016232759067892337
43.063,0.015544378274315413
43.7595,0.014901719423850214
44.4673,0.014297785576248332
45.1865,0.013717188783518382
45.9174,0.013153292635861869
46.66,0.012600416798617335
47.4147,0.01204753185936332
48.1816,0.011486204166800424
48.9609,0.01095028920372276
49.7528,0.010457329012290423
50.5576,0.00998748871831095
51.3753,0.009534589711777623
52.2062,0.00909264941747582
53.0506,0.00866181228152015
53.9087,0.008244267141407633
54.7806,0.007836682752146398
55.6667,0.0074356593457515704
56.567,0.007039941351466973
57.482,0.006654145345570742
58.4117,0.0062509391379883756
59.3564,0.005801792558224633
60.3165,0.005288690268033627
61.2921,0.00468476323146846
62.2834,0.004070082984137683
63.2908,0.0034612255609683825
63.80265,0.0031090874292405545
64.05857499999999,0.0029043625508558346
64.3145,0.0026355340100086915
64.57454999999999,0.0023640524286499256
64.8346,0.0021561698021125195
65.3547,0.0017466397032675422
65.618975,0.0015472217259297689
65.88325,0.0014121208845506634
66.4118,0.0012115211605692473
66.680325,0.001141316437373263
66.94885,0.001113870259592923
67.4859,0.0011276840869167103
67.75880000000001,0.0011790511890367
68.0317,0.0012948944344936956
68.3046,0.0014762705650966797
68.44104999999999,0.0016034484726780828
68.509275,0.0016837076755432485
68.5775,0.0017956972679582018
68.646825,0.0019096161493541127
68.71615,0.0019925260567160447
68.85480000000001,0.002128716926707042
69.13210000000001,0.002346198729777078
69.6867,0.0026932897220456943
70.8138,0.00324367044263007
71.38645,0.003493316789503201
71.9591,0.0037657280176620392
72.25007500000001,0.003908536611745813
72.54105000000001,0.004021761683897665
73.123,0.004213129192091328
74.3057,0.004522944761269216
75.5076,0.004778487191562966
76.7289,0.005020652196582481
77.9699,0.005238419882480855
79.231,0.0054040283240238025
80.5125,0.005533896812009327
81.8147,0.0056457993599762155
83.138,0.005764486192768537
84.4827,0.005866619029552861
85.8491,0.005919314542924392
87.2377,0.00593780558901287
88.6487,0.005932733570401931
90.0825,0.005907998638459887
91.5395,0.005863121976039882
93.0201,0.005799657864011363
94.5246,0.005733384370732797
96.0535,0.005671553782957641
97.6071,0.005608540899386379
99.1858,0.005543629235578032
100.79,0.00547681737820596
102.42,0.005408358202614355
104.077,0.005338631489122837
105.76,0.005268372722673698
107.471,0.005199763532841016
109.209,0.005130150674042844
110.975,0.005055939638313076
112.77,0.004978795203639799
114.594,0.0048999586796444426
116.448,0.004820041161890623
118.331,0.004739728683699918
120.245,0.004660617424371485
122.19,0.004580803236030157
124.166,0.00449742814220924
126.175,0.004411272365094909
128.215,0.004323022681402106
130.289,0.00423230105752344
132.397,0.004137869620033813
134.538,0.004032239837656584
136.714,0.003928557291320298
138.925,0.003840334375817395
141.172,0.0037601390617858603
143.456,0.003685524821697702
145.776,0.0036156436503540844
148.134,0.003550100197602154
150.53,0.0034889191258293327
152.964,0.0034325554520102932
155.439,0.003382868232793395
157.953,0.003345145710122508
159.23000000000002,0.003328425315484713
160.507,0.0033060479278191443
163.103,0.003255584860144991
165.742,0.0032014245450960976
