Energy (eV),Im(n_xx) 10°,Im(n_yy) 10°,Re(n_xx) 10°,Re(n_yy) 10°,Dichroism 10°,Birefringence 10°,Im(n_xx) 80°,Im(n_yy) 80°,Re(n_xx) 80°,Re(n_yy) 80°,Dichroism 80°,Birefringence 80°
250.0,0.00028067655815979567,0.0002806765581597957,0.0021260828178809713,0.002062359036648465,-5.421010862427522e-20,6.372378123250654e-05,0.0002806765581597957,0.0002806765581597957,0.002062359036648465,0.0021260828178809713,0.0,-6.372378123250654e-05
250.1,0.00028030414632612466,0.0002803041463261247,0.0021229018099758793,0.0020589155756535,-5.421010862427522e-20,6.398623432237946e-05,0.0002803041463261247,0.0002803041463261247,0.0020589155756535,0.0021229018099758793,0.0,-6.398623432237946e-05
250.2,0.0002799317344924536,0.00027993173449245365,0.0021197208020707877,0.0020554721146585344,-5.421010862427522e-20,6.424868741225324e-05,0.00027993173449245365,0.00027993173449245365,0.0020554721146585344,0.0021197208020707877,0.0,-6.424868741225324e-05
250.29999999999998,0.0002795593226587826,0.00027955932265878264,0.0021165397941656956,0.0020520286536635695,-5.421010862427522e-20,6.451114050212616e-05,0.00027955932265878264,0.00027955932265878264,0.0020520286536635695,0.0021165397941656956,0.0,-6.451114050212616e-05
250.39999999999998,0.0002791869108251116,0.0002791869108251116,0.0021133587862606036,0.0020485851926686045,0.0,6.477359359199908e-05,0.00027918691082511163,0.0002791869108251116,0.0020485851926686045,0.0021133587862606036,5.421010862427522e-20,-6.477359359199908e-05
250.49999999999997,0.0002788144989914405,0.00027881449899144057,0.002110177778355512,0.0020451417316736395,-5.421010862427522e-20,6.503604668187243e-05,0.00027881449899144057,0.00027881449899144057,0.0020451417316736395,0.002110177778355512,0.0,-6.503604668187243e-05
250.59999999999997,0.0002784420871577695,0.0002784420871577695,0.00210699677045042,0.002041698270678674,0.0,6.529849977174578e-05,0.00027844208715776956,0.0002784420871577695,0.002041698270678674,0.00210699677045042,5.421010862427522e-20,-6.529849977174578e-05
250.69999999999996,0.00027806967532409844,0.0002780696753240985,0.0021038157625453283,0.002038254809683709,-5.421010862427522e-20,6.556095286161913e-05,0.0002780696753240985,0.0002780696753240985,0.002038254809683709,0.0021038157625453283,0.0,-6.556095286161913e-05
250.79999999999995,0.00027769726349042743,0.00027769726349042743,0.0021006347546402362,0.002034811348688744,0.0,6.582340595149205e-05,0.0002776972634904275,0.00027769726349042743,0.002034811348688744,0.0021006347546402362,5.421010862427522e-20,-6.582340595149205e-05
250.89999999999995,0.00027732485165675636,0.0002773248516567564,0.002097453746735144,0.0020313678876937792,-5.421010862427522e-20,6.608585904136497e-05,0.0002773248516567564,0.0002773248516567564,0.0020313678876937792,0.002097453746735144,0.0,-6.608585904136497e-05
250.99999999999994,0.00027695243982308536,0.00027695243982308536,0.0020942727388300526,0.002027924426698814,0.0,6.634831213123875e-05,0.0002769524398230854,0.00027695243982308536,0.002027924426698814,0.0020942727388300526,5.421010862427522e-20,-6.634831213123875e-05
251.09999999999994,0.00027658002798941435,0.00027658002798941435,0.0020910917309249605,0.002024480965703849,0.0,6.661076522111167e-05,0.0002765800279894144,0.00027658002798941435,0.002024480965703849,0.0020910917309249605,5.421010862427522e-20,-6.661076522111167e-05
251.19999999999993,0.0002762076161557433,0.0002762076161557433,0.002087910723019869,0.002021037504708884,0.0,6.687321831098502e-05,0.00027620761615574334,0.0002762076161557433,0.002021037504708884,0.002087910723019869,5.421010862427522e-20,-6.687321831098502e-05
251.29999999999993,0.0002758352043220723,0.0002758352043220723,0.002084729715114777,0.002017594043713919,0.0,6.713567140085794e-05,0.00027583520432207233,0.0002758352043220723,0.002017594043713919,0.002084729715114777,5.421010862427522e-20,-6.713567140085794e-05
251.39999999999992,0.0002754627924884012,0.0002754627924884012,0.002081548707209685,0.0020141505827189535,0.0,6.739812449073129e-05,0.00027546279248840126,0.0002754627924884012,0.0020141505827189535,0.002081548707209685,5.421010862427522e-20,-6.739812449073129e-05
251.49999999999991,0.0002750903806547302,0.0002750903806547302,0.002078367699304593,0.0020107071217239886,0.0,6.766057758060464e-05,0.00027509038065473025,0.0002750903806547302,0.0020107071217239886,0.002078367699304593,5.421010862427522e-20,-6.766057758060464e-05
251.5999999999999,0.00027472812061943807,0.00027472812061943807,0.002075168783911584,0.0020072200052862125,0.0,6.794877862537161e-05,0.0002747281206194381,0.00027472812061943807,0.0020072200052862125,0.002075168783911584,5.421010862427522e-20,-6.794877862537161e-05
251.6999999999999,0.0002743720826541201,0.0002743720826541201,0.002071958892961465,0.002003706132286713,0.0,6.82527606747519e-05,0.00027437208265412014,0.0002743720826541201,0.002003706132286713,0.002071958892961465,5.421010862427522e-20,-6.82527606747519e-05
251.7999999999999,0.0002740160446888021,0.0002740160446888021,0.002068749002011345,0.0020001922592872137,0.0,6.855674272413133e-05,0.00027401604468880217,0.0002740160446888021,0.0020001922592872137,0.002068749002011345,5.421010862427522e-20,-6.855674272413133e-05
251.8999999999999,0.00027366000672348413,0.00027366000672348413,0.0020655391110612257,0.0019966783862877145,0.0,6.886072477351119e-05,0.0002736600067234842,0.00027366000672348413,0.0019966783862877145,0.0020655391110612257,5.421010862427522e-20,-6.886072477351119e-05
251.9999999999999,0.00027330396875816616,0.00027330396875816616,0.002062329220111106,0.0019931645132882153,0.0,6.916470682289061e-05,0.0002733039687581662,0.00027330396875816616,0.0019931645132882153,0.002062329220111106,5.421010862427522e-20,-6.916470682289061e-05
