Beamline Energy,20 deg,40 deg,55 deg,70 deg,90 deg
305.985893,3.475993327,3.468098752,3.552565575,3.466105785,2.997093608
306.9921484,3.249637808,3.266846524,3.315523677,3.265036308,2.814664166
308.0022176,3.1208564,3.113568382,3.149774689,3.118302928,2.693107553
308.9988698,2.944589383,2.962100411,3.015080212,2.969000712,2.567508523
309.9991285,2.799211144,2.800553408,2.841898316,2.810203841,2.416427596
311.0146443,2.695160304,2.69600948,2.740979275,2.682525232,2.346765669
311.9841278,2.561895666,2.563762748,2.574250421,2.54548645,2.217169649
313.0039214,2.477997509,2.474116717,2.500278961,2.469759364,2.167896219
313.9918527,2.375881553,2.391106199,2.392826323,2.391508594,2.087188276
315.0039842,2.292547776,2.300394431,2.309567032,2.274813613,2.01502001
315.9926327,2.209521179,2.230972712,2.20596938,2.212059857,1.949638477
316.9875324,2.151374523,2.162352039,2.153766165,2.139689705,1.900428323
317.9917863,2.088949366,2.081131643,2.08927255,2.097999048,1.866415504
319.0177662,2.052780306,2.047733782,2.047842493,2.022507561,1.835607641
319.9764321,1.856867629,1.846132127,1.827878974,1.846527889,1.659233759
324.9786412,1.615880962,1.610174919,1.596206302,1.601210418,1.477883845
329.9829453,1.411434627,1.412187243,1.380187108,1.406472021,1.302184108
334.9922827,1.272203847,1.269551693,1.227526121,1.267139335,1.183453701
339.9755674,1.148562179,1.155345482,1.123961108,1.157143153,1.109469278
344.9808509,1.051733844,1.043195614,1.019761869,1.036522354,1.028369301
349.9665055,0.935610135,0.938348544,0.955348324,0.932644161,0.945101176
354.9736218,0.864093841,0.863110361,0.900928699,0.873690332,0.917060245
359.9626034,-1.323423196,-1.328826084,-1.421935319,-1.330924602,-1.391624899
