energy,beta
10.0,0.09742384824022605
10.1617,0.09457882312542909
10.2439,0.0931806411691893
10.3261,0.09181481585581976
10.4931,0.08913335611171748
10.6628,0.08652970543047037
10.8353,0.08400135186440472
11.0106,0.08167636768266391
11.1886,0.08142743094404276
11.3696,0.08117729749530726
11.5535,0.08092889218059429
11.7404,0.08068003867132133
11.9303,0.0804325831381558
12.1232,0.08021412449834843
12.3193,0.08001074200519016
12.5186,0.07980709283952576
12.721,0.07960578621622577
12.9268,0.07940339807393994
13.1359,0.07917776700868424
13.3483,0.07894095894015365
13.5642,0.07870401380841427
13.7836,0.07846799837305715
14.0066,0.0782316392755631
14.2331,0.07793798338994895
14.4633,0.07729536134847839
14.6973,0.07665770115356227
14.935,0.07602593100954194
15.1765,0.07539982838328968
15.422,0.07477789812401484
15.6714,0.07406281938556186
15.9249,0.07310797533048162
16.1825,0.07216550367511652
16.4442,0.07123559251141423
16.7102,0.07031721807467328
16.9805,0.06941059684375796
17.2551,0.0685163848837463
17.5342,0.06741433836482319
17.8178,0.06619959039412514
18.106,0.06500675528750254
18.3989,0.06383529866860585
18.6964,0.06268565444211893
18.9988,0.06155615230326302
19.3061,0.05911168137538752
19.6184,0.05682602404442093
19.9357,0.055173546061867855
20.2582,0.05356875095054149
20.5858,0.052011214275575
20.9188,0.050513815170205714
21.2571,0.049620576045916444
21.6009,0.04874295380033422
21.9503,0.04788064779269798
22.3053,0.047583449490974906
22.6661,0.047423357956452306
23.0327,0.04726393211169023
23.4053,0.04710470240165251
23.7838,0.04694652197084878
24.1685,0.04609009408651335
24.5594,0.04495357506256737
24.9566,0.04384499629480987
25.3603,0.04276354778140479
25.7705,0.04170890309046971
26.1873,0.04029874141368339
26.6109,0.03880452004843966
27.0413,0.03736579003598181
27.4786,0.03598051485858509
27.9231,0.03460296248620687
28.3747,0.03319846500712635
28.8337,0.031850759918698617
29.3,0.030558049491440892
29.7739,0.02931765705821874
30.2555,0.028127539840974394
30.7449,0.027011024261749776
31.2421,0.025944055498216597
31.7475,0.024919040952704398
32.2609,0.023934786619410172
32.7827,0.022989220985624458
33.313,0.022080957367212602
33.8518,0.021208651859074203
34.3993,0.020370871583971148
34.9557,0.019580318106009145
35.5211,0.018837992944759244
36.0956,0.018123777162982763
36.6794,0.017436664648200633
37.2727,0.01677553603897224
37.8755,0.016139548113163597
38.4882,0.015527592796043604
39.1107,0.015030859214131262
39.7432,0.014554945058538033
40.3861,0.014093979930288731
41.0393,0.013647680137871005
41.7031,0.013215490441419363
42.3776,0.01279696989865519
43.063,0.012454304630854077
43.7595,0.0121523543753879
44.4673,0.011857715840198603
45.1865,0.011570284669058292
45.9174,0.011289752651885372
46.66,0.011016074817388742
47.4147,0.010749012101682753
48.1816,0.010507974849602008
48.9609,0.010330401214999329
49.7528,0.010155822918333753
50.5576,0.009984201564625416
51.3753,0.009815479643242744
52.2062,0.009649646686732728
53.0506,0.009494530945663536
53.9087,0.00934453939234631
54.7806,0.009196959427595582
55.6667,0.009051678060469092
56.567,0.008908718702967342
57.482,0.00876550543060577
58.4117,0.008583712522162622
59.3564,0.008405714412362396
60.3165,0.008231376477094644
61.2921,0.008113488713062101
62.2834,0.008158533628534853
63.2908,0.008203785826011218
63.80265,0.008227434526820673
64.05857499999999,0.008238583169943902
64.3145,0.008249294155537148
64.57454999999999,0.008410050854405712
64.8346,0.008567968132899036
65.3547,0.008875493421086471
65.618975,0.009136561116279881
65.88325,0.00939316275130372
66.4118,0.009893293453671213
66.680325,0.01018431159808957
66.94885,0.010470351816882668
67.4859,0.011027861376109041
67.75880000000001,0.011352234232143996
68.0317,0.011671057915346268
68.3046,0.011984434117662318
68.44104999999999,0.01213911059560494
68.509275,0.01221595130514776
68.5775,0.012292462354580888
68.646825,0.012298385555124951
68.71615,0.012304259842479811
68.85480000000001,0.012315862714260007
69.13210000000001,0.01233849281942821
69.6867,0.012381506641448855
70.8138,0.012407978840345711
71.38645,0.012407453819059907
71.9591,0.012405373857836488
72.25007500000001,0.0123466557330763
72.54105000000001,0.01228847864045027
73.123,0.012173718401983046
74.3057,0.011946405909483131
75.5076,0.011723309991723687
