{1=sample1,2=KM3245432}
CCD
Scan Type: One Motor From File
Y:\Collins\2024Nov\XRR\znpc\.macro\2024 11 15\znpc(1).txt
X Motor: Beamline Energy
Delay After Move (s): 0.00000000
Stay at End: 0
Curvature: 0.0
Clip to ROI: No
ROI: 1309 526 2539 1627
Background ROI: None
Data File Path: C:\Beamline Controls\BCS Setup Data\241116\CCD Scan 85251
Time	Frame #	Beamline Energy	EPU Polarization	Coolstage Temp C	CCD Temperature	Beam Current	TEY signal	Izero	Photodiode	AI 0	AI 3 Izero	AI 5	AI 6 BeamStop	AI 7	Temperature Controller	PZT Shutter	Pause Trigger	LV Memory	Time Stamp Error	Time Stamp Transmit Time	Time Stamp Server Time	Camera Temp Setpoint	Total Flux	Counts	Background	Filename
00:50:22	14.00000000	284.20136240	100.00000000	0.00000000	-40.00000000	499.96765137	0.01064454	-0.12223438	0.00026032	0.05811713	-0.02022853	-0.00957699	-0.89359244	-0.00000611	0.00000000	0.00000000	0.00000000	1042588.00000000	-0.00504065	0.98684833	0.01315167	-40.00000000	0.00000000	45673680.00000000	0.00000000	znpc_85251-00014
00:50:25	15.00000000	284.20136240	100.00000000	0.00000000	-40.00000000	500.94268799	0.01027223	-0.12667252	-0.00005035	0.03957555	-0.01676021	-0.01934090	-0.88866117	0.00005964	0.00000000	0.00000000	0.00000000	1042984.00000000	-0.00504065	0.98684833	0.01315167	-40.00000000	0.00000000	45680889.00000000	0.00000000	znpc_85251-00015
00:50:28	16.00000000	284.20136240	100.00000000	0.00000000	-40.00000000	500.84960937	0.01075138	-0.16152016	0.00026526	0.09628516	-0.01846971	-0.01917653	-0.93961763	0.00005964	0.00000000	0.00000000	0.00000000	1041376.00000000	-0.00504065	0.98684833	0.01315167	-40.00000000	0.00000000	45665354.00000000	0.00000000	znpc_85251-00016
00:50:31	17.00000000	284.20136240	100.00000000	0.00000000	-40.00000000	500.75271606	0.01061429	-0.21806539	0.00023896	0.07036311	-0.01805877	-0.02093535	-1.12536214	0.00001033	0.00000000	0.00000000	0.00000000	1041760.00000000	-0.00504065	0.98684833	0.01315167	-40.00000000	0.00000000	45667329.00000000	0.00000000	znpc_85251-00017
00:50:34	18.00000000	284.20136240	100.00000000	0.00000000	-40.00000000	500.64361572	0.01041507	-0.17993024	-0.00008815	0.04975040	-0.01685883	-0.02052441	-0.91003000	0.00014183	0.00000000	0.00000000	0.00000000	1042308.00000000	-0.00504065	0.98684833	0.01315167	-40.00000000	0.00000000	45672140.00000000	0.00000000	znpc_85251-00018
00:50:38	19.00000000	284.20136240	100.00000000	0.00000000	-40.00000000	500.56045532	0.01046488	-0.16908144	0.00022416	0.03071570	-0.02086960	-0.00944549	-1.12207462	-0.00000611	0.00000000	0.00000000	0.00000000	1042676.00000000	-0.00504065	0.98684833	0.01315167	-40.00000000	0.00000000	45671468.00000000	0.00000000	znpc_85251-00019
00:50:41	20.00000000	284.20136240	100.00000000	0.00000000	-40.00000000	500.46203613	0.01050926	-0.14146633	-0.00000103	0.04550951	-0.01592189	-0.02044222	-0.91824879	0.00017470	0.00000000	0.00000000	0.00000000	1041388.00000000	-0.00504065	0.98684833	0.01315167	-40.00000000	0.00000000	45678758.00000000	0.00000000	znpc_85251-00020
00:50:44	21.00000000	284.20136240	100.00000000	0.00000000	-40.00000000	500.37506104	0.01065062	-0.14935636	-0.00010952	0.00439916	-0.01482057	-0.02195448	-0.70456042	0.00007608	0.00000000	0.00000000	0.00000000	1041388.00000000	-0.00504065	0.98684833	0.01315167	-40.00000000	0.00000000	45661631.00000000	0.00000000	znpc_85251-00021
00:50:47	22.00000000	284.20136240	100.00000000	0.00000000	-40.00000000	500.27359009	0.01020204	-0.13045316	-0.00006185	-0.00737014	-0.01426170	-0.01874915	-0.88866117	0.00027333	0.00000000	0.00000000	0.00000000	1042200.00000000	-0.00504065	0.98684833	0.01315167	-40.00000000	0.00000000	45665789.00000000	0.00000000	znpc_85251-00022
00:50:50	23.00000000	284.20136240	100.00000000	0.00000000	-40.00000000	500.18127441	0.01023409	-0.17056083	0.00025704	0.05343242	-0.01802590	-0.01817384	-0.82948593	0.00025689	0.00000000	0.00000000	0.00000000	1042372.00000000	-0.00504065	0.98684833	0.01315167	-40.00000000	0.00000000	45671324.00000000	0.00000000	znpc_85251-00023
