energy,os,wid,mu_x,mu_y,mu_z,theta,sym,xx,yy,zz,xy,xz,yz,atom,mo,cluster
287.69547,0.00022099999,0.21231422,0.70700604,0.70700604,0.016880482,89.032776,1,0.00011027185,0.00011027185,6.2862e-08,0,0,0,4,135,7,1
287.75305,0.00059100002,0.21231422,0.0020654076,0.0020654076,0.99999571,0.16785879,1,2.5209643e-09,2.5209643e-09,0.00059095107,0,0,0,4,136,7,1
287.77655,0.000106,0.21231422,0.15278532,0.15278532,0.97637767,12.478365,1,2.4823005e-06,2.4823005e-06,0.00010137405,0,0,0,2,133,7,1
287.78424,0.000356,0.21231422,0.010198743,0.010198743,0.99989599,0.82637876,1,3.7007343e-08,3.7007343e-08,0.00035571668,0,0,0,2,134,7,1
287.81866,0.000184,0.21231422,0.00089841674,0.00089841674,0.99999917,0.074018747,1,1.4840001e-10,1.4840001e-10,0.00018385593,0,0,0,3,136,7,1
287.84695,5.8000001e-05,0.21231422,0.70704716,0.70704716,0.012984134,89.256042,1,2.9035906e-05,2.9035906e-05,9.7918464e-09,0,0,0,4,137,7,1
287.91855,4.8999998e-05,0.21231422,0.67004257,0.67004257,0.31950873,71.366783,1,2.1872855e-05,2.1872855e-05,4.9735463e-06,0,0,0,4,138,7,1
287.92627,0.000124,0.21231422,0.70710677,0.70710677,6.3314204e-05,89.996376,1,6.209909e-05,6.209909e-05,4.9787187e-13,0,0,0,3,137,7,1
287.95746,0.00027300001,0.21231422,0.0091986107,0.0091986107,0.99991536,0.74546099,1,2.3095797e-08,2.3095797e-08,0.00027290723,0,0,0,4,139,7,1
287.97037,0.000126,0.21231422,0.69167304,0.69167304,0.20779026,78.007111,1,6.0430433e-05,6.0430433e-05,5.4538641e-06,0,0,0,3,138,8,1
287.98929,9.4000003e-05,0.21231422,0.11995597,0.11995597,0.98550552,9.7670832,1,1.3563102e-06,1.3563102e-06,9.1544738e-05,0,0,0,3,139,8,1
288.14597,6.5e-05,0.21231422,0.70610869,0.70610869,0.05311282,86.955429,1,3.227828e-05,3.227828e-05,1.8262742e-07,0,0,0,3,141,8,1
288.16284,0.000108,0.21231422,0.7070995,0.7070995,0.0045439918,89.739647,1,5.4120774e-05,5.4120774e-05,2.2350024e-09,0,0,0,4,142,8,1
288.16403,7.4000003e-05,0.21231422,0.0065547847,0.0065547847,0.99995703,0.53118628,1,3.1919165e-09,3.1919165e-09,7.4284348e-05,0,0,0,2,138,8,1
288.21487,5.0999999e-05,0.21231422,0.012510261,0.012510261,0.99984348,1.0137496,1,7.9734326e-09,7.9734326e-09,5.0930346e-05,0,0,0,3,142,9,1
288.24896,4.7000001e-05,0.21231422,0.70709747,0.70709747,0.0051351851,89.705772,1,2.3572142e-05,2.3572142e-05,1.2432335e-09,0,0,0,3,143,9,1
288.27277,0.000103,0.21231422,0.0042178049,0.0042178049,0.99998224,0.34149665,1,1.8326196e-09,1.8326196e-09,0.00010301108,0,0,0,3,144,9,1
288.32089,6.8000001e-05,0.21231422,0.70710534,0.70710534,0.0020143832,89.884583,1,3.4173358e-05,3.4173358e-05,2.7733435e-10,0,0,0,3,145,9,1
288.39539,0.000102,0.21231422,0.70710677,0.70710677,1.1926199e-05,89.999313,1,5.09614e-05,5.09614e-05,1.449691e-14,0,0,0,3,148,9,1
288.40356,0.007332,0.21231422,0.0012045791,0.0012045791,0.99999857,0.096913293,1,1.0639118e-08,1.0639118e-08,0.007332189,0,0,0,1,124,9,1
288.46747,6.9000002e-05,0.21231422,0.70291519,0.70291519,0.10872234,83.758331,1,3.4269186e-05,3.4269186e-05,8.1985223e-07,0,0,0,1,125,9,1
288.49786,9.4000003e-05,0.21231422,0.70710665,0.70710665,0.00066869106,89.961685,1,4.6918198e-05,4.6918198e-05,4.1958749e-11,0,0,0,3,153,9,1
288.52158,0.000118,0.21231422,0.0016996703,0.0016996703,0.99999714,0.13705611,1,3.4022696e-10,3.4022696e-10,0.00011777059,0,0,0,3,154,9,1
288.58752,0.000102,0.21231422,0.00045430547,0.00045430547,0.99999982,0.034264021,1,2.0951005e-11,2.0951005e-11,0.00010150998,0,0,0,2,147,9,1
288.59418,8.1999999e-05,0.21231422,0.63350958,0.63350958,0.44421974,63.626572,1,3.2739161e-05,3.2739161e-05,1.6097443e-05,0,0,0,3,156,9,1
288.59647,6.9000002e-05,0.21231422,0.55073804,0.55073804,0.62719637,51.156422,1,2.0891619e-05,2.0891619e-05,2.7094991e-05,0,0,0,3,157,9,1
288.62317,6.4e-05,0.21231422,0.70710611,0.70710611,0.0013607438,89.922035,1,3.1981675e-05,3.1981675e-05,1.1843627e-10,0,0,0,3,158,10,1
288.64719,0.00021499999,0.21231422,0.0032969317,0.0032969317,0.99998915,0.2668786,1,2.3349023e-09,2.3349023e-09,0.00021480251,0,0,0,1,126,10,1
288.65384,7.6999997e-05,0.22603472,0.22869375,0.22869375,0.94625491,18.869986,1,4.0273117e-06,4.0273117e-06,6.8948197e-05,0,0,0,4,160,10,1
288.67654,0.000184,0.22974673,0.046999849,0.046999849,0.99778855,3.8111532,1,4.0596342e-07,4.0596342e-07,0.00018296627,0,0,0,4,162,10,1
288.67679,7.5000004e-05,0.21231422,0.00064205244,0.00064205244,0.99999958,0.052339155,1,3.0873578e-11,3.0873578e-11,7.4893753e-05,0,0,0,1,127,10,1
288.71225,5.8000001e-05,0.21231422,0.00046072633,0.00046072633,0.99999976,0.039564684,1,1.2256689e-11,1.2256689e-11,5.7741348e-05,0,0,0,2,153,10,1
288.72614,4.8000002e-05,0.21231422,0.70706666,0.70706666,0.010655453,89.389473,1,2.4070892e-05,2.4070892e-05,5.4665756e-09,0,0,0,2,154,10,1
288.75458,7.6999997e-05,0.23016255,0.70673221,0.70673221,0.032544561,88.135002,1,3.8674047e-05,3.8674047e-05,8.2009961e-08,0,0,0,3,161,10,1
288.78137,0.000111,0.23455304,0.028512597,0.028512597,0.99918669,2.3109677,1,8.9899153e-08,8.9899153e-08,0.0001104016,0,0,0,3,162,10,1
288.82605,9.1000002e-05,0.21231422,0.08006686,0.08006686,0.9935686,6.5016479,1,5.8132872e-07,5.8132872e-07,8.9518304e-05,0,0,0,2,156,10,1
288.82913,0.000241,0.21231422,0.0033823003,0.0033823003,0.99998856,0.2741124,1,2.7529039e-09,2.7529039e-09,0.00024063388,0,0,0,2,157,10,1
288.83694,0.000185,0.25597611,0.70710397,0.70710397,0.0028357159,89.837524,1,9.2409842e-05,9.2409842e-05,1.4861994e-09,0,0,0,4,166,10,1
288.84406,6.6000001e-05,0.25713715,0.70709938,0.70709938,0.0045692981,89.738197,1,3.3058808e-05,3.3058808e-05,1.3804643e-09,0,0,0,4,167,10,1
288.84967,5.7000001e-05,0.24574226,0.7070924,0.7070924,0.0063823033,89.634315,1,2.8281946e-05,2.8281946e-05,2.3041562e-09,0,0,0,3,164,10,1
288.88947,8.3999999e-05,0.25226247,0.70709777,0.70709777,0.0050496263,89.710678,1,4.2021682e-05,4.2021682e-05,2.1430533e-09,0,0,0,3,165,10,1
288.89969,0.000268,0.21231422,0.011166437,0.011166437,0.99987531,0.90482175,1,3.3363314e-08,3.3363314e-08,0.00026750483,0,0,0,1,128,10,1
288.91397,0.00036000001,0.21231422,0.0082959412,0.0082959412,0.99993116,0.6723125,1,2.4786882e-08,2.4786882e-08,0.00036010638,0,0,0,1,129,10,1
288.93344,0.000118,0.22307818,0.0038000776,0.0038000776,0.99998558,0.30774137,1,1.7037547e-09,1.7037547e-09,0.00011798031,0,0,0,2,160,10,1
288.94034,9.3000002e-05,0.27288458,0.64915717,0.64915717,0.39647192,66.642197,1,3.9263985e-05,3.9263985e-05,1.4646018e-05,0,0,0,4,169,10,1
288.95935,0.00054600002,0.27599156,0.0025416641,0.0025416641,0.99999356,0.20558423,1,3.5245999e-09,3.5245999e-09,0.00054559187,0,0,0,4,170,10,1
288.99103,0.00061599998,0.23259918,0.0004748081,0.0004748081,0.99999976,0.039564684,1,1.3888379e-10,1.3888379e-10,0.00061604881,0,0,0,2,161,10,1
288.99545,4.4e-05,0.2818948,0.69492346,0.69492346,0.18483177,79.348679,1,2.1310114e-05,2.1310114e-05,1.507527e-06,0,0,0,4,171,10,1
289.01385,0.00057500001,0.28490365,5.4552303e-05,5.4552303e-05,1,0,1,1.7109303e-12,1.7109303e-12,0.00057491835,0,0,0,4,172,10,1
289.03357,4.9999999e-05,0.27586961,0.0020273586,0.0020273586,0.99999589,0.16432452,1,2.074081e-10,2.074081e-10,5.0461593e-05,0,0,0,3,169,10,1
289.04779,0.00147,0.27819592,0.0019448368,0.0019448368,0.99999624,0.15701751,1,5.5597655e-09,5.5597655e-09,0.0014698968,0,0,0,3,171,10,1
289.05267,6.1999999e-05,0.21231422,0.70169085,0.70169085,0.12353105,82.904068,1,3.058053e-05,3.058053e-05,9.4777585e-07,0,0,0,1,131,10,1
289.05756,7.5999997e-05,0.29204968,0.031291947,0.031291947,0.99902034,2.5363619,1,7.4308893e-08,7.4308893e-08,7.5739837e-05,0,0,0,4,173,10,1
289.06769,7.8999998e-05,0.28145605,0.70704418,0.70704418,0.013302903,89.237778,1,3.9598297e-05,3.9598297e-05,1.4017682e-08,0,0,0,3,172,10,1
289.09274,7.3000003e-05,0.29780576,0.0038163506,0.0038163506,0.99998546,0.30901042,1,1.0701451e-09,1.0701451e-09,7.3473966e-05,0,0,0,4,174,10,1
289.09549,0.0021240001,0.21231422,0.0016166598,0.0016166598,0.99999738,0.13122123,1,5.5518177e-09,5.5518177e-09,0.002124201,0,0,0,1,132,10,1
289.12604,8.2999999e-05,0.25491408,0.10256018,0.10256018,0.98942548,8.3397188,1,8.7370552e-07,8.7370552e-07,8.1315564e-05,0,0,0,2,165,10,1
289.13324,0.000193,0.2561042,0.066180378,0.066180378,0.99561054,5.3703475,1,8.433982e-07,8.433982e-07,0.0001908768,0,0,0,2,166,10,1
289.14975,0.00020900001,0.25883156,0.0081154332,0.0081154332,0.99993414,0.65759909,1,1.3793692e-08,1.3793692e-08,0.00020941118,0,0,0,2,167,10,1
289.15625,0.001164,0.25990599,0.00059973204,0.00059973204,0.99999964,0.048456643,1,4.1869305e-10,4.1869305e-10,0.001164075,0,0,0,2,168,10,1
289.18826,0.00015199999,0.30121329,0.00070477341,0.00070477341,0.99999952,0.05595291,1,7.5687789e-11,7.5687789e-11,0.00015237943,0,0,0,3,176,10,1
289.18884,0.000145,0.26529461,0.022599822,0.022599822,0.99948913,1.831521,1,7.4265394e-08,7.4265394e-08,0.00014525549,0,0,0,2,169,10,1
289.21786,9.9999997e-05,0.3182627,0.7027508,0.7027508,0.11082675,83.637024,1,4.9397051e-05,4.9397051e-05,1.228535e-06,0,0,0,4,177,10,1
289.25165,0.00041000001,0.27567518,0.0027607877,0.0027607877,0.99999237,0.22381178,1,3.1269307e-09,3.1269307e-09,0.00041024716,0,0,0,2,170,10,1
289.28857,5.5e-05,0.31764489,0.7065506,0.7065506,0.03965494,87.727341,1,2.7215687e-05,2.7215687e-05,8.5728935e-08,0,0,0,3,177,10,1
289.31442,5.6000001e-05,0.28605574,0.70710677,0.70710677,0.00018573647,89.989357,1,2.7787655e-05,2.7787655e-05,1.9172392e-12,0,0,0,2,172,10,1
289.32587,0.000849,0.21231422,8.8327324e-05,8.8327324e-05,1,0,1,6.6276359e-12,6.6276359e-12,0.00084950996,0,0,0,1,135,10,1
289.38235,4.8000002e-05,0.34516254,0.70710558,0.70710558,0.0018653763,89.89312,1,2.3906765e-05,2.3906765e-05,1.6637391e-10,0,0,0,4,178,10,1
289.42355,4.9999999e-05,0.35189974,0.70686764,0.70686764,0.026004512,88.50988,1,2.5135401e-05,2.5135401e-05,3.4017862e-08,0,0,0,4,179,10,1
289.49216,0.00012500001,0.36311755,0.70709771,0.70709771,0.0050667073,89.709702,1,6.2418869e-05,6.2418869e-05,3.204857e-09,0,0,0,4,180,10,1
289.51648,0.000136,0.35498053,0.70710552,0.70710552,0.0019006535,89.891098,1,6.8006135e-05,6.8006135e-05,4.9134391e-10,0,0,0,3,180,10,1
289.51907,0.000143,0.21231422,0.70709831,0.70709831,0.0049019731,89.719139,1,7.1411101e-05,7.1411101e-05,3.4320056e-09,0,0,0,1,136,10,1
289.54153,4.9999999e-05,0.32359433,0.69698918,0.69698918,0.16855931,80.295937,1,2.4144265e-05,2.4144265e-05,1.4121064e-06,0,0,0,2,178,10,1
289.55536,4.7000001e-05,0.37345234,0.70710361,0.70710361,0.0029825214,89.829117,1,2.3594408e-05,2.3594408e-05,4.197688e-10,0,0,0,4,181,11,1
289.60535,0.00024199999,0.38162857,0.70710677,0.70710677,9.3864801e-06,89.999466,1,0.00012091408,0.00012091408,2.1306517e-14,0,0,0,4,182,11,1
