Energy (eV),Reduced Chi^2,Number of Parameters,Number of Data Points,AIC,BIC
0.0,18.188308959691348,101,2766,17785.39554825319,18383.836456987883
250.0,5.736792253630266,21,259,138.72736466069432,213.4207539563846
275.0,14.617162596715705,21,110,424.34693401057456,481.0570216922153
280.0,9.162765109275963,21,111,183.76454565017423,240.66467987773325
281.0,7.681207224717926,21,112,118.46702708457508,175.55550338177204
281.2,7.323732220445436,21,112,102.17118697747624,159.25966327467322
281.4,6.900827601588878,21,111,81.90944621796098,138.80958044552
281.6,3.7843766863878674,21,107,-56.26833215817203,-0.13892663447201414
281.8,3.2469846595220466,21,110,-81.89771884909862,-25.18763116745788
282.0,3.2629368923192956,21,109,-80.36186818752623,-23.843562660714213
282.3,3.4886852989473254,21,109,-70.42938998359729,-13.911084456785275
282.5,3.8852293254671335,21,107,-51.97066753325693,4.158737990443086
282.7,3.5876664591616403,21,130,-79.56178313590613,-19.3435596763389
282.9,4.714972315499622,21,131,-18.159796749051182,42.219347038173
283.1,3.939360186163067,21,131,-60.856033274012376,-0.4768894867881954
283.3,2.7942148109435605,21,131,-123.88487828474544,-63.50573449752126
283.5,4.104137010385302,21,131,-51.82946890553448,8.549674881689697
283.7,14.016312201694321,21,296,1291.471268271346,1368.968816812151
284.2,75.90680573524777,21,115,3330.009930422816,3387.653505118444
285.1,99.30397430004612,21,115,4429.706711012319,4487.3502857079475
287.0,168.87601284904378,21,119,8028.275625831196,8086.637219186538
289.0,27.81659162361833,21,110,1011.7654451749571,1068.475532856598
