Energy (eV),Reduced Chi^2,Number of Parameters,Number of Data Points,AIC,BIC
0.0,6.84465676037875,370,2766,2286.8292462101203,4479.13752573326
250.0,2.4562535944046253,13,259,-259.06134300386236,-212.82257820176838
275.0,7.134121265706271,18,110,95.994743564989,144.6033901492525
280.0,3.332191589081758,18,111,-79.58715838135613,-30.815614757734124
281.0,2.7313465939312764,18,112,-108.66484491334549,-59.73186523003379
281.2,2.2966429448516497,18,112,-129.1807796080698,-80.2477999247581
281.4,2.0515849064146416,18,111,-139.2387626514648,-90.4672190278428
281.6,0.6476026681957062,18,107,-196.26673691324302,-148.15581789292872
281.8,0.4565129468133033,18,110,-211.42975403757964,-162.82110745331613
282.0,0.5321587020291353,18,109,-205.74922070776358,-157.30495882763898
282.3,0.6067192642980361,17,109,-204.04287909461706,-158.28996509672163
282.5,0.5772280937464819,17,107,-201.07475701531712,-155.63666682946473
282.7,0.5398864085589823,17,130,-252.69336037676533,-203.94527471902043
282.9,1.2523188845898154,18,131,-212.72676811205653,-160.97321629443582
283.1,0.7076664529538598,18,131,-243.64395815278652,-191.8904063351658
283.3,2.7446369888454214,18,131,-128.32422723906365,-76.57067542144293
283.5,6.096817828672012,18,131,61.26866736567982,113.02221918330054
283.7,5.070127603383076,18,296,63.525110375247564,129.95158055308065
284.2,32.87203301396806,18,115,1349.9201151814686,1399.3288934920072
285.1,27.06969350838139,18,115,1068.7812773746525,1118.190055685191
287.0,33.0347158441887,18,119,1416.1991077813966,1466.2233306574042
289.0,22.479866379328197,18,110,802.8247747739771,851.4334213582406
