Energy (eV),Im(n_xx) 10°,Im(n_yy) 10°,Re(n_xx) 10°,Re(n_yy) 10°,Dichroism 10°,Birefringence 10°,Im(n_xx) 80°,Im(n_yy) 80°,Re(n_xx) 80°,Re(n_yy) 80°,Dichroism 80°,Birefringence 80°
10.0,0.27883972976923094,0.27883972976923094,-0.22898408280692775,-0.2303951070510635,0.0,0.0014110242441357501,0.27883972976923094,0.27883972976923094,-0.2303951070510635,-0.22898408280692775,0.0,-0.0014110242441357501
10.1617,0.2815370036488771,0.2815370036488771,-0.2431810488675074,-0.24454770625793806,0.0,0.0013666573904306534,0.2815370036488771,0.2815370036488771,-0.2445477062579381,-0.2431810488675074,0.0,-0.0013666573904306811
10.18225,0.2819189040793698,0.28191890407936987,-0.2342543923715656,-0.23561556218092133,-5.551115123125783e-17,0.0013611698093557445,0.28191890407936987,0.28191890407936987,-0.23561556218092133,-0.2342543923715656,0.0,-0.0013611698093557445
10.2028,0.28229544649939015,0.28229544649939015,-0.2264190082717832,-0.2277747236258797,0.0,0.0013557153540964817,0.2822954464993902,0.28229544649939015,-0.2277747236258797,-0.2264190082717832,5.551115123125783e-17,-0.0013557153540964817
10.2439,0.28303267787042974,0.2830326778704298,-0.2132656581636107,-0.2146105629221604,-5.551115123125783e-17,0.0013449047585497031,0.2830326778704298,0.28303267787042974,-0.2146105629221604,-0.2132656581636107,5.551115123125783e-17,-0.0013449047585497031
10.285,0.28374913265736573,0.2837491326573657,-0.20260908287765134,-0.20394330638414185,5.551115123125783e-17,0.0013342235064905117,0.2837491326573657,0.28374913265736573,-0.20394330638414185,-0.20260908287765136,-5.551115123125783e-17,-0.001334223506490484
10.3261,0.28444523596773913,0.2844452359677391,-0.19380942968593748,-0.19513309922794148,5.551115123125783e-17,0.0013236695420039968,0.28444523596773913,0.28444523596773913,-0.19513309922794148,-0.19380942968593748,0.0,-0.0013236695420039968
10.36785,0.2852585158809955,0.2852585158809955,-0.18627055882914406,-0.1875836357453525,0.0,0.0013130769162084388,0.2852585158809955,0.2852585158809955,-0.1875836357453525,-0.1862705588291441,0.0,-0.001313076916208411
10.409600000000001,0.2860496234990485,0.2860496234990485,-0.17978669891189095,-0.18108931040093562,0.0,0.001302611489044675,0.2860496234990485,0.2860496234990485,-0.18108931040093562,-0.17978669891189095,0.0,-0.001302611489044675
10.4931,0.28756712168849263,0.28756712168849263,-0.16935214418243763,-0.1706341983375193,0.0,0.0012820541550816744,0.2875671216884927,0.28756712168849263,-0.1706341983375193,-0.16935214418243763,5.551115123125783e-17,-0.0012820541550816744
10.577950000000001,0.2892756746217314,0.28927567462173137,-0.1612358209864918,-0.1624974821532197,5.551115123125783e-17,0.0012616611667279065,0.2892756746217314,0.2892756746217314,-0.1624974821532197,-0.16123582098649183,0.0,-0.0012616611667278788
10.6628,0.2908936410041981,0.2908936410041981,-0.15496975420966735,-0.1562115072912881,0.0,0.00124175308162075,0.2908936410041981,0.2908936410041982,-0.1562115072912881,-0.15496975420966735,-5.551115123125783e-17,-0.00124175308162075
10.74905,0.29286340090627677,0.2928634009062767,-0.149976245384518,-0.15119824315734107,5.551115123125783e-17,0.001221997772823058,0.29286340090627677,0.29286340090627677,-0.15119824315734107,-0.14997624538451804,0.0,-0.0012219977728230302
10.8353,0.29473382869920495,0.29473382869920495,-0.14611836379747656,-0.14732107615091194,0.0,0.0012027123534353867,0.29473382869920495,0.294733828699205,-0.14732107615091194,-0.14611836379747656,-5.551115123125783e-17,-0.0012027123534353867
11.0106,0.29969868279436856,0.29969868279436856,-0.14024459572885406,-0.14140949859249308,0.0,0.0011649028636390169,0.29969868279436856,0.29969868279436856,-0.14140949859249308,-0.14024459572885406,0.0,-0.0011649028636390169
11.1886,0.30508679475088024,0.30508679475088024,-0.13590599414885232,-0.1370343092083477,0.0,0.0011283150594953717,0.30508679475088024,0.30508679475088024,-0.1370343092083477,-0.13590599414885232,0.0,-0.0011283150594953717
11.3696,0.31101645326847177,0.3110164532684717,-0.13243726873193754,-0.13353012750275908,5.551115123125783e-17,0.0010928587708215476,0.3110164532684717,0.31101645326847177,-0.13353012750275908,-0.13243726873193754,-5.551115123125783e-17,-0.0010928587708215476
11.5535,0.3171817473554019,0.3171817473554019,-0.12934113810668033,-0.13039966565162536,0.0,0.001058527544945037,0.3171817473554019,0.3171817473554019,-0.13039966565162536,-0.12934113810668033,0.0,-0.001058527544945037
11.7404,0.32357924653010034,0.32357924653010034,-0.1263440628514692,-0.12736933899747346,0.0,0.0010252761460042559,0.32357924653010034,0.32357924653010034,-0.12736933899747346,-0.1263440628514692,0.0,-0.0010252761460042559
11.9303,0.3301783516666291,0.3301783516666291,-0.12291179733000583,-0.12390487625050997,0.0,0.0009930789205041396,0.3301783516666292,0.3301783516666291,-0.12390487625050998,-0.12291179733000585,5.551115123125783e-17,-0.0009930789205041396
12.1232,0.33571600652704653,0.3357160065270465,-0.11946318600449939,-0.12042509586697826,5.551115123125783e-17,0.0009619098624788769,0.3357160065270465,0.33571600652704653,-0.12042509586697826,-0.11946318600449939,-5.551115123125783e-17,-0.0009619098624788769
12.3193,0.34136677202423954,0.34136677202423954,-0.11653252810341264,-0.11746424077350744,0.0,0.0009317126700948003,0.34136677202423954,0.34136677202423954,-0.11746424077350745,-0.11653252810341265,0.0,-0.0009317126700948003
12.5186,0.3474800088763445,0.3474800088763445,-0.11367569216617271,-0.1145781573861228,0.0,0.000902465219950091,0.3474800088763445,0.3474800088763445,-0.1145781573861228,-0.11367569216617271,0.0,-0.000902465219950091
