{1=sample1,2=KM3245432}
CCD
Scan Type: From File
Y:\Collins\2024Nov\XRR\znpc\.macro\2024 11 16\znpc.txt
Delay After Move (s): 0.00000000
Stay at End: 0
Curvature: 0.0
Clip to ROI: No
ROI: 1309 526 2539 1627
Background ROI: None
Data File Path: C:\Beamline Controls\BCS Setup Data\241116\CCD Scan 85265
Time	Frame #	Sample X	Sample Y	Sample Z	Sample Theta	CCD Theta	Higher Order Suppressor	Horizontal Exit Slit Size	Beamline Energy	EPU Polarization	Coolstage Temp C	CCD Temperature	Beam Current	TEY signal	Izero	Photodiode	AI 0	AI 3 Izero	AI 5	AI 6 BeamStop	AI 7	Temperature Controller	PZT Shutter	Pause Trigger	LV Memory	Time Stamp Error	Time Stamp Transmit Time	Time Stamp Server Time	Camera Temp Setpoint	Total Flux	Counts	Background	Filename
05:05:41	11.00000000	2.37000000	9.17350000	-1.01600000	2.07200000	4.14250000	8.74998333	2999.99218750	284.19648148	100.00000000	0.00000000	-40.00000000	500.88012695	-0.00181903	-0.15363013	0.00161699	0.05236398	-0.01927515	-0.01838753	-0.73250428	0.00024045	0.00000000	0.00000000	0.00000000	602608.00000000	-0.00485373	0.00010000	0.01129694	-40.00000000	0.00000000	45627862.00000000	0.00000000	znpc_85265-00011
05:05:47	12.00000000	2.37000000	9.17150000	-1.01600000	2.28600000	4.57100000	8.74998333	2999.99218750	284.19648148	100.00000000	0.00000000	-40.00000000	500.70312500	-0.00193245	-0.13768569	0.00161699	0.07488344	-0.01899572	-0.01611914	-0.79989831	0.00025689	0.00000000	0.00000000	0.00000000	602692.00000000	-0.00485373	0.00010000	0.01129694	-40.00000000	0.00000000	45594430.00000000	0.00000000	znpc_85265-00012
05:05:52	13.00000000	2.37000000	9.16950000	-1.01600000	2.50000000	4.99950000	8.74998333	2999.99218750	284.19648148	100.00000000	0.00000000	-40.00000000	500.54748535	-0.00169739	-0.10727619	-0.00073358	0.05573368	-0.01577395	-0.02547212	-1.05139308	0.00005964	0.00000000	0.00000000	0.00000000	602712.00000000	-0.00485373	0.00010000	0.01129694	-40.00000000	0.00000000	45622811.00000000	0.00000000	znpc_85265-00013
05:05:58	14.00000000	2.37000000	9.16750000	-1.01600000	2.71400000	5.42800000	8.74998333	2999.99218750	284.19648148	100.00000000	0.00000000	-40.00000000	500.39642334	-0.00167438	-0.11976874	0.00053211	0.04874771	-0.01657939	-0.01906147	-0.82126714	0.00009251	0.00000000	0.00000000	0.00000000	602632.00000000	-0.00485373	0.00010000	0.01129694	-40.00000000	0.00000000	45724283.00000000	0.00000000	znpc_85265-00014
05:06:03	15.00000000	2.37000000	9.16600000	-1.01600000	2.92800000	5.85650000	8.74998333	2999.99218750	284.19648148	100.00000000	0.00000000	-40.00000000	500.22476196	-0.00175656	-0.12305626	0.00066361	0.03597572	-0.01884778	-0.02022853	-0.91660503	0.00014183	0.00000000	0.00000000	0.00000000	602748.00000000	-0.00485373	0.00010000	0.01129694	-40.00000000	0.00000000	45650298.00000000	0.00000000	znpc_85265-00015
05:06:09	16.00000000	2.37000000	9.16400000	-1.01550000	3.14200000	6.28500000	8.74998333	2999.99218750	284.19648148	100.00000000	0.00000000	-40.00000000	500.08743286	-0.00172040	-0.14080883	-0.00175271	0.01291382	-0.01689171	-0.01894640	-0.95276768	0.00012539	0.00000000	0.00000000	0.00000000	602752.00000000	-0.00485373	0.00010000	0.01129694	-40.00000000	0.00000000	45727408.00000000	0.00000000	znpc_85265-00016
05:06:14	17.00000000	2.37000000	9.16200000	-1.01550000	3.35800000	6.71400000	8.74998333	2999.99218750	284.19648148	100.00000000	0.00000000	-40.00000000	501.19598389	-0.00200313	-0.14458947	0.00038418	0.05640762	-0.01653008	-0.01820671	-0.92153630	0.00015826	0.00000000	0.00000000	0.00000000	602736.00000000	-0.00485373	0.00010000	0.01129694	-40.00000000	0.00000000	45640258.00000000	0.00000000	znpc_85265-00017
05:06:20	18.00000000	2.37000000	9.16000000	-1.01550000	3.57200000	7.14250000	8.74998333	2999.99218750	284.19648148	100.00000000	0.00000000	-40.00000000	501.04873657	-0.00170725	-0.17319084	-0.00116096	0.04618345	-0.01552739	-0.01685883	-0.76044814	0.00019114	0.00000000	0.00000000	0.00000000	602772.00000000	-0.00485373	0.00010000	0.01129694	-40.00000000	0.00000000	45696022.00000000	0.00000000	znpc_85265-00018
05:06:25	19.00000000	2.37000000	9.15800000	-1.01550000	3.78600000	7.57100000	8.74998333	2999.99218750	284.19648148	100.00000000	0.00000000	-40.00000000	500.88394165	-0.00164972	-0.13308317	0.00095949	0.10019730	-0.01685883	-0.01659583	-0.97413652	-0.00002255	0.00000000	0.00000000	0.00000000	602756.00000000	-0.00485373	0.00010000	0.01129694	-40.00000000	0.00000000	45712386.00000000	0.00000000	znpc_85265-00019
05:06:31	20.00000000	2.37000000	9.15650000	-1.01550000	4.00000000	7.99950000	8.74998333	2999.99218750	284.19648148	100.00000000	0.00000000	-40.00000000	500.72525024	-0.00182889	-0.17335521	0.00041705	0.06178270	-0.01634927	-0.01316038	-0.97906779	0.00012539	0.00000000	0.00000000	0.00000000	602748.00000000	-0.00485373	0.00010000	0.01129694	-40.00000000	0.00000000	45775959.00000000	0.00000000	znpc_85265-00020
05:06:36	21.00000000	2.37000000	9.15450000	-1.01500000	4.21400000	8.42800000	8.74998333	2999.99218750	284.19648148	100.00000000	0.00000000	-40.00000000	500.57952881	-0.00178615	-0.12848065	0.00028555	0.07626420	-0.01920940	-0.01325900	-0.90674249	0.00007608	0.00000000	0.00000000	0.00000000	602808.00000000	-0.00485373	0.00010000	0.01129694	-40.00000000	0.00000000	45748286.00000000	0.00000000	znpc_85265-00021
