{1=sample1,2=KM3245432}
CCD
Scan Type: From File
Y:\Collins\2024Nov\XRR\znpc\.macro\2024 11 16\znpc (4).txt
Delay After Move (s): 0.00000000
Stay at End: 0
Curvature: 0.0
Clip to ROI: No
ROI: 1309 526 2539 1627
Background ROI: None
Data File Path: C:\Beamline Controls\BCS Setup Data\241116\CCD Scan 85272
Time	Frame #	Sample X	Sample Y	Sample Z	Sample Theta	CCD Theta	Higher Order Suppressor	Horizontal Exit Slit Size	Beamline Energy	EPU Polarization	Coolstage Temp C	CCD Temperature	Beam Current	TEY signal	Izero	Photodiode	AI 0	AI 3 Izero	AI 5	AI 6 BeamStop	AI 7	Temperature Controller	PZT Shutter	Pause Trigger	LV Memory	Time Stamp Error	Time Stamp Transmit Time	Time Stamp Server Time	Camera Temp Setpoint	Total Flux	Counts	Background	Filename
06:56:17	1.00000000	1.80000000	10.80000000	-5.00000000	0.00000000	0.00000000	8.74966583	2999.99218750	250.00216203	190.00000000	0.00000000	-40.00000000	500.74661255	-0.00181410	-0.14771261	0.00102524	0.05428717	-0.01710540	-0.02400917	-0.90181122	0.00033908	0.00000000	0.00000000	0.00000000	614448.00000000	-0.00480080	0.00010000	0.00804057	-40.00000000	0.00000000	46385033.00000000	0.00000000	znpc_85272-00001
06:56:22	2.00000000	1.80000000	10.80000000	-5.00000000	0.00000000	0.00000000	8.74998333	2999.99218750	250.00216203	190.00000000	0.00000000	-40.00000000	500.58868408	-0.00182067	-0.11302934	0.00127180	0.05716375	-0.01764784	-0.01879846	-0.95441144	0.00019114	0.00000000	0.00000000	0.00000000	614512.00000000	-0.00480080	0.00010000	0.00804057	-40.00000000	0.00000000	46414270.00000000	0.00000000	znpc_85272-00002
06:56:28	3.00000000	1.80000000	10.80000000	-5.00000000	0.00000000	0.00000000	8.74998333	2999.99218750	250.00216203	190.00000000	0.00000000	-40.00000000	500.44830322	-0.00195053	-0.11023495	0.00243887	0.03204714	-0.01874915	-0.01955459	-0.94948017	0.00012539	0.00000000	0.00000000	0.00000000	614512.00000000	-0.00480080	0.00010000	0.00804057	-40.00000000	0.00000000	46469844.00000000	0.00000000	znpc_85272-00003
06:56:33	4.00000000	1.80000000	10.80000000	-5.00000000	0.00000000	0.00000000	8.74998333	2999.99218750	250.00216203	190.00000000	0.00000000	-40.00000000	500.53070068	-0.00175821	-0.10563243	0.00058143	0.00287046	-0.01544520	-0.02220104	-0.90674249	0.00004320	0.00000000	0.00000000	0.00000000	614512.00000000	-0.00480080	0.00010000	0.00804057	-40.00000000	0.00000000	46395338.00000000	0.00000000	znpc_85272-00004
06:56:38	5.00000000	1.80000000	10.80000000	-5.00000000	0.00000000	0.00000000	8.74998333	2999.99218750	250.00216203	190.00000000	0.00000000	-40.00000000	500.38345337	-0.00178615	-0.12864503	0.00036774	0.00934686	-0.01730265	-0.01922584	-0.99879287	0.00002676	0.00000000	0.00000000	0.00000000	614468.00000000	-0.00480080	0.00010000	0.00804057	-40.00000000	0.00000000	46428690.00000000	0.00000000	znpc_85272-00005
06:56:47	6.00000000	1.80000000	10.40400000	-0.77800000	1.00000000	1.99950000	8.74998333	2999.99218750	250.00216203	190.00000000	0.00000000	-40.00000000	500.14999390	-0.00177465	-0.14639760	-0.00014183	0.02354892	-0.01603695	-0.02118191	-0.88537365	0.00017470	0.00000000	0.00000000	0.00000000	614468.00000000	-0.00480080	0.00010000	0.00804057	-40.00000000	0.00000000	46140329.00000000	0.00000000	znpc_85272-00006
06:56:52	7.00000000	1.80000000	10.40250000	-0.77800000	1.24200000	2.48250000	8.74998333	2999.99218750	250.00216203	190.00000000	0.00000000	-40.00000000	499.99435425	-0.00195053	-0.14195946	0.00066361	0.03868792	-0.01860121	-0.01450826	-1.10399330	0.00012539	0.00000000	0.00000000	0.00000000	614484.00000000	-0.00480080	0.00010000	0.00804057	-40.00000000	0.00000000	46197083.00000000	0.00000000	znpc_85272-00007
06:56:57	8.00000000	1.80000000	10.40100000	-0.77800000	1.48200000	2.96450000	8.74998333	2999.99218750	250.00216203	190.00000000	0.00000000	-40.00000000	501.06170654	-0.00182560	-0.08409922	-0.00094727	-0.00230737	-0.01726977	-0.02361467	-0.88044238	0.00004320	0.00000000	0.00000000	0.00000000	614516.00000000	-0.00480080	0.00010000	0.00804057	-40.00000000	0.00000000	46153679.00000000	0.00000000	znpc_85272-00008
06:57:02	9.00000000	1.80000000	10.39950000	-0.77800000	1.72400000	3.44800000	8.74998333	2999.99218750	250.00216203	190.00000000	0.00000000	-40.00000000	500.89004517	-0.00205080	-0.11253621	0.00002255	0.02820075	-0.01687527	-0.01845328	-0.85249852	0.00009251	0.00000000	0.00000000	0.00000000	614516.00000000	-0.00480080	0.00010000	0.00804057	-40.00000000	0.00000000	46264771.00000000	0.00000000	znpc_85272-00009
06:57:07	10.00000000	1.80000000	10.39750000	-0.77800000	1.96600000	3.93050000	8.74998333	2999.99218750	250.00216203	190.00000000	0.00000000	-40.00000000	500.75195312	-0.00209518	-0.06848353	0.00132112	0.04008511	-0.01845328	-0.01322613	-0.89030493	0.00019114	0.00000000	0.00000000	0.00000000	614464.00000000	-0.00480080	0.00010000	0.00804057	-40.00000000	0.00000000	46263819.00000000	0.00000000	znpc_85272-00010
